name          omega
	frame	data/chars/beyond/1alien5/spawn12.gif
	frame	data/chars/beyond/1alien5/spawn13.gif
	frame	data/chars/beyond/1alien5/spawn14.gif
	frame	data/chars/beyond/1alien5/spawn15.gif
	frame	data/chars/beyond/1alien5/spawn16.gif
	frame	data/chars/beyond/1alien5/spawn17.gif
	frame	data/chars/beyond/1alien5/spawn18.gif
	frame	data/chars/beyond/1alien5/spawn19.gif
	frame	data/chars/beyond/1alien5/spawn20.gif
	frame	data/chars/beyond/1alien5/spawn21.gif
	frame	data/chars/beyond/1alien5/spawn22.gif
	frame	data/chars/beyond/1alien5/spawn23.gif
	frame	data/chars/beyond/1alien5/spawn24.gif
	delay	40
	frame	data/chars/beyond/1alien5/spawn25.gif
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien5/spawn25.gif
	delay	12
	frame	data/chars/beyond/1alien5/spawn26.gif
	frame	data/chars/beyond/1alien5/spawn27.gif
	frame	data/chars/beyond/1alien5/spawn28.gif
	frame	data/chars/beyond/1alien5/spawn29.gif
		
anim	special
	energycost	30
	loop	0
	delay	9
	offset	100 189
	bbox	0 0 0 0
	followanim	2
	followcond	1
	fastattack	1
	hitfx	data/sounds/grab.wav
	frame	data/chars/beyond/1alien5/sp01.gif
	attack	95 80 60 35 0 0 1 1 9 14
	frame	data/chars/beyond/1alien5/grab01.gif
	frame	data/chars/beyond/1alien5/grab01.gif
	attack	0 0 0 0
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien5/sp01.gif
		
anim	special2
	energycost	10
	mponly	1
	loop	0
	delay	7
	offset	100 189
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien5/rise4.gif
	frame	data/chars/beyond/1alien5/rise3.gif
	offset	103 170
	frame	data/chars/beyond/1alien5/jump04.gif
	offset	100 189
	hitfx	data/sounds/exel.wav
	@cmd	dasher -2 0 0
	frame	data/chars/beyond/1alien5/dgd01.gif
	frame	data/chars/beyond/1alien5/dgd02.gif
	@cmd	dasher -3 0 0
	frame	data/chars/beyond/1alien5/dgd03.gif
	frame	data/chars/beyond/1alien5/dgd01.gif
	frame	data/chars/beyond/1alien5/dgd02.gif
	frame	data/chars/beyond/1alien5/dgd03.gif
	frame	data/chars/beyond/1alien5/dgd01.gif
	@cmd	dasher -1 0 0
	frame	data/chars/beyond/1alien5/dgd02.gif
	@cmd	attack1 0 155 10 "ANI_FOLLOW4"
	frame	data/chars/beyond/1alien5/dgd03.gif
	@cmd	attack1 0 155 10 "ANI_FOLLOW4"
	offset	103 170
	@cmd	stop
	frame	data/chars/beyond/1alien5/jump04.gif
	@cmd	attack1 0 155 10 "ANI_FOLLOW4"
	offset	100 189
	frame	data/chars/beyond/1alien5/rise3.gif
	@cmd	attack1 0 155 10 "ANI_FOLLOW4"
	frame	data/chars/beyond/1alien5/rise4.gif
		
anim	upper
	range	5 210
	rangez	-30 30
	loop	0
	delay	6
	offset	100 189
	bbox	0 0 0 0
	jumpframe	7 4 2
	fastattack	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	frame	data/chars/beyond/1alien5/c01.gif
	frame	data/chars/beyond/1alien5/c02.gif
	frame	data/chars/beyond/1alien5/c03.gif
	frame	data/chars/beyond/1alien5/c04.gif
	frame	data/chars/beyond/1alien5/c30.gif
	attack3	96 70 95 90 12 1 0 0 15 0
	frame	data/chars/beyond/1alien5/c31.gif
	frame	data/chars/beyond/1alien5/c32.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/1alien5/c33.gif
	attack3	95 30 85 135 12 1 0 0 15 0
	frame	data/chars/beyond/1alien5/c34.gif
	frame	data/chars/beyond/1alien5/c35.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/1alien5/c36.gif
	attack3	35 35 145 60 12 1 0 0 15 0
	frame	data/chars/beyond/1alien5/c37.gif
	frame	data/chars/beyond/1alien5/c38.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/1alien5/c39.gif
	hitflash	flashscreen1
	attack3	36 40 80 135 12 1 0 0 15 0
	frame	data/chars/beyond/1alien5/c40.gif
	frame	data/chars/beyond/1alien5/c41.gif
	attack3	0 0 0 0
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien5/c42.gif
	frame	data/chars/beyond/1alien5/c43.gif
	frame	data/chars/beyond/1alien5/c44.gif
	frame	data/chars/beyond/1alien5/c45.gif
	frame	data/chars/beyond/1alien5/c46.gif
	frame	data/chars/beyond/1alien5/c47.gif
	frame	data/chars/beyond/1alien5/c48.gif
	frame	data/chars/beyond/1alien5/c49.gif
	frame	data/chars/beyond/1alien5/c50.gif
		
anim	walk
	loop	1
	delay	11
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien5/wk01.gif
	frame	data/chars/beyond/1alien5/wk02.gif
	frame	data/chars/beyond/1alien5/wk03.gif
	frame	data/chars/beyond/1alien5/wk04.gif
	frame	data/chars/beyond/1alien5/wk05.gif
	frame	data/chars/beyond/1alien5/wk06.gif
	frame	data/chars/beyond/1alien5/wk07.gif
	frame	data/chars/beyond/1alien5/wk08.gif
		
#|edited by openBor Stats v 0.53
		
