name          nosedgrey
	frame	data/chars/beyond/1alien3/a03.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 15 15 15 1 1
	frame	data/chars/beyond/1alien3/a02.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 24 25 25 1 1
	frame	data/chars/beyond/1alien3/a03.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 1 20 20 1 1
	frame	data/chars/beyond/1alien3/a04.gif
	@cmd	hurt 5
	@cmd	antiwall 50 -5 -1
	@cmd	position 1 20 20 1 1
	frame	data/chars/beyond/1alien3/a05.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 24 25 25 1 1
	frame	data/chars/beyond/1alien3/a03.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 15 15 15 1 1
	frame	data/chars/beyond/1alien3/a02.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 24 25 25 1 1
	frame	data/chars/beyond/1alien3/a03.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 1 20 20 1 1
	frame	data/chars/beyond/1alien3/a04.gif
	@cmd	hurt 5
	@cmd	antiwall 50 -5 -1
	@cmd	position 1 20 20 1 1
	frame	data/chars/beyond/1alien3/a05.gif
	@cmd	antiwall 50 -5 -1
	@cmd	position 24 25 25 1 1
	frame	data/chars/beyond/1alien3/a03.gif
	@cmd	killgun 8 0
	@cmd	position 15 15 15 1 1
	frame	data/chars/beyond/1alien3/a02.gif
	@cmd	killgun 2 0
	@cmd	depost 0
	@cmd	finish 15 1 2 4 0 0
	delay	15
	seta	13
	frame	data/chars/beyond/1alien3/a01.gif
	@cmd	clearL
	seta	10
	frame	data/chars/beyond/1alien3/idle05.gif
	seta	8
	frame	data/chars/beyond/1alien3/idle06.gif
	seta	5
	frame	data/chars/beyond/1alien3/idle07.gif
	seta	3
	frame	data/chars/beyond/1alien3/idle08.gif


		
anim	special2
	loop	0
	delay	4
	offset	101 192
	bbox	0 0 0 0
	move	-3
	hitfx	data/sounds/exel.wav
	sound	data/sounds/laser.wav
	frame	data/chars/beyond/1alien3/blk01.gif
	frame	data/chars/beyond/1alien3/blk01.gif
	frame	data/chars/beyond/1alien3/blk01.gif
	frame	data/chars/beyond/1alien3/blk02.gif
	frame	data/chars/beyond/1alien3/blk02.gif
	frame	data/chars/beyond/1alien3/blk02.gif
	frame	data/chars/beyond/1alien3/blk03.gif
	frame	data/chars/beyond/1alien3/blk03.gif
	frame	data/chars/beyond/1alien3/blk03.gif
	frame	data/chars/beyond/1alien3/blk03.gif
	frame	data/chars/beyond/1alien3/blk03.gif
	frame	data/chars/beyond/1alien3/blk03.gif
	move	0
	delay	10
	attack	15 40 170 130 6 1 0 0 35 25
	dropv	5 2
	@cmd	spawnGun5 "pw16" -30 1 -8 2 "ANI_FOLLOW5"
	frame	data/chars/beyond/1alien3/blk03.gif
	@cmd	spawnGun5 "pw16" -25 1 8 2 "ANI_FOLLOW5"
	frame	data/chars/beyond/1alien3/blk03.gif
	@cmd	spawnGun5 "pw16" 30 1 -8 2 "ANI_FOLLOW5"
	frame	data/chars/beyond/1alien3/blk03.gif
	@cmd	spawnGun5 "pw16" 25 1 8 2 "ANI_FOLLOW5"
	frame	data/chars/beyond/1alien3/blk03.gif
	attack	0 0 0 0
	delay	14
	frame	data/chars/beyond/1alien3/blk03.gif
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien3/blk02.gif
	frame	data/chars/beyond/1alien3/blk01.gif
		
anim	upper
	range	0 150
	rangez	-25 25
	loop	0
	delay	10	0
	offset	100 189
	bbox	0 0 0 0
	@cmd	target 1 1 1 1 0
	@cmd	dash
	sound	data/sounds/alien4.wav
	frame	data/chars/beyond/1alien3/upper01.gif
	attack	50 40 115 130 6 1 0 0 35 25
	dropv	5 2
	@cmd	spawnGun5 "pw16" 1 1 -1 2 "ANI_FOLLOW5"
	frame	data/chars/beyond/1alien3/upper02.gif
	frame	data/chars/beyond/1alien3/upper03.gif
	frame	data/chars/beyond/1alien3/upper04.gif
	frame	data/chars/beyond/1alien3/upper05.gif
	@cmd	stop
	frame	data/chars/beyond/1alien3/upper06.gif
	frame	data/chars/beyond/1alien3/upper03.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien3/upper02.gif
	frame	data/chars/beyond/1alien3/upper01.gif
		
anim	walk
	loop	1
	delay	9
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien3/wk01.gif
	frame	data/chars/beyond/1alien3/wk02.gif
	frame	data/chars/beyond/1alien3/wk03.gif
	frame	data/chars/beyond/1alien3/wk04.gif
		
#|edited by openBor Stats v 0.53
		
