name		kyurifall
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	@cmd	stop
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	delay	8
	frame	data/chars/0yuri/kfyuri/air/spawn03.gif
	frame	data/chars/0yuri/kfyuri/air/spawn04.gif
	frame	data/chars/0yuri/kfyuri/air/spawn05.gif
	frame	data/chars/0yuri/kfyuri/air/spawn06.gif
	frame	data/chars/0yuri/kfyuri/air/spawn07.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
		

#|edited by openBor Stats v 0.67
		
