name	      Ryoene
	delay	30
	offset	140 204
	bbox	128 105 39 97
	fastattack	1
	move	15
	frame	data/chars/1ryo/grab.gif
	move	0
	delay	5
	offset	150 204
	frame	data/chars/1ryo/grab.gif
	delay	23
	attack	178 113 20 23 6 0 1 0 16 0
	frame	data/chars/1ryo/hold1.gif
	delay	8
	attack	0 0 0 0
	frame	data/chars/1ryo/grab.gif
	delay	23
	attack	178 113 20 23 6 0 1 0 16 0
	frame	data/chars/1ryo/hold1.gif
	delay	8
	attack	0 0 0 0
	frame	data/chars/1ryo/grab.gif
	delay	23
	attack	177 109 20 23 6 0 1 0 16 0
	frame	data/chars/1ryo/hold2.gif
	delay	8
	attack	0 0 0 0
	frame	data/chars/1ryo/grab.gif
	delay	23
	attack	177 109 20 23 6 0 1 0 16 0
	frame	data/chars/1ryo/hold2.gif
	delay	8
	offset	150 204
	attack	0 0 0 0
	frame	data/chars/1ryo/grab.gif
	delay	5
	offset	153 204
	bbox	130 100 39 97
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/ryo01.wav
	@cmd	dasher 0.5 0 0
	frame	data/chars/1ryo/a15.gif
	frame	data/chars/1ryo/a16.gif
	frame	data/chars/1ryo/a17.gif
	frame	data/chars/1ryo/a60.gif
	delay	14
	attack3	152 75 32 76 12 1 1 0 15 0
	dropv	5 1 0
	frame	data/chars/1ryo/a61.gif
	delay	6
	@cmd	stop
	frame	data/chars/1ryo/a62.gif
	frame	data/chars/1ryo/a63.gif
	attack3	0 0 0 0
	frame	data/chars/1ryo/a64.gif
	frame	data/chars/1ryo/a65.gif

	
	
anim	spawn
	loop	0
	delay	7
	offset	145 204
	bbox	0 0 0 0
	frame	data/chars/1ryo/a04.gif
	frame	data/chars/1ryo/win6.gif
	frame	data/chars/1ryo/win7.gif
	frame	data/chars/1ryo/win8.gif
	frame	data/chars/1ryo/win9.gif
	delay	5
	frame	data/chars/1ryo/win10.gif
	frame	data/chars/1ryo/win11.gif
	frame	data/chars/1ryo/win10.gif
	frame	data/chars/1ryo/win11.gif
	frame	data/chars/1ryo/win10.gif
	frame	data/chars/1ryo/win11.gif
	delay	7
	frame	data/chars/1ryo/win9.gif
	frame	data/chars/1ryo/win8.gif
	frame	data/chars/1ryo/win7.gif
	frame	data/chars/1ryo/win6.gif
	frame	data/chars/1ryo/a04.gif
		
anim	walk
	loop	1
	delay	14
	offset	143 204
	bbox	120 111 39 84
	frame	data/chars/1ryo/wk07.gif
	delay	10
	frame	data/chars/1ryo/wk08.gif
	frame	data/chars/1ryo/wk09.gif
	frame	data/chars/1ryo/wk10.gif
	delay	14
	frame	data/chars/1ryo/wk11.gif
	delay	10
	frame	data/chars/1ryo/wk12.gif


