name		kyoplr
	frame	data/chars/xkyo/spp02.png
	frame	data/chars/xkyo/spp03.png
	frame	data/chars/xkyo/spp04.png #3
	frame	data/chars/xkyo/spp05.png
	frame	data/chars/xkyo/spp06.png
	@cmd	looper 3 1
	frame	data/chars/xkyo/spp07.png
	offset	88 121
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp11.png
	delay	10
	frame	data/chars/xkyo/spp11.png
	delay	5
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif #18
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
		
anim	freespecial31
	energycost	55
	mponly	1
	weaponframe	18 9
	loop	0
	delay	8
	offset	91 138
	bbox	0 0 0 0
	frame	data/chars/xkyo/spp01.png
	delay	6
	sound	data/sounds/xkyotlk.wav
	frame	data/chars/xkyo/spp02.png
	frame	data/chars/xkyo/spp03.png
	frame	data/chars/xkyo/spp04.png #3
	frame	data/chars/xkyo/spp05.png
	frame	data/chars/xkyo/spp06.png
	@cmd	looper 3 1
	frame	data/chars/xkyo/spp07.png
	offset	88 121
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp11.png
	delay	10
	frame	data/chars/xkyo/spp11.png
	delay	5
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif #18
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/3pipas/empty.gif
	frame	data/chars/xkyo/spp11.png
		
anim	freespecial5
	energycost	10
	mponly	1
	loop	0
	delay	15
	offset	95 123
	bbox	60 25 40 91
	sound	data/sounds/xkyo02.wav
	frame	data/chars/xkyo/pw05.png
	frame	data/chars/xkyo/pw06.png
	delay	7
	frame	data/chars/xkyo/pw07.png
	sound	data/sounds/super2.wav
	frame	data/chars/xkyo/pw08.png
	@cmd	projectile 1 "xkyopw" 1 1 0
	frame	data/chars/xkyo/pw09.png
	delay	20
	frame	data/chars/xkyo/pw10.png
	delay	12
	frame	data/chars/xkyo/pw11.png
		
anim	freespecial6
	loop	0
	delay	8
	jumpframe	2 3.1 2.5
	landframe	11
	offset	61 137
	bbox	40 55 40 80
	hitflash	flashscreen1
	forcedirection	-1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo04.wav
	frame	data/chars/xkyo/pw_0010.png
	delay	6
	frame	data/chars/xkyo/pw_0009.png
	bbox	45 30 35 35
	frame	data/chars/xkyo/pw_0008.png
	frame	data/chars/xkyo/pw_0007.png
	frame	data/chars/xkyo/pw_0006.png
	frame	data/chars/xkyo/pw_0005.png
	frame	data/chars/xkyo/pw_0004.png
	staydown	500 500
	attack	60 28 85 80 35 1 1 0 45 0
	dropv	1 2
	frame	data/chars/xkyo/pw_0003.png
	delay	8
	frame	data/chars/xkyo/pw_0002.png
	frame	data/chars/xkyo/pw_0001.png
	attack	45 30 40 110 35 1 1 0 45 0
	dropv	1 2
	delay	500
	frame	data/chars/xkyo/pw_0000.png
	delay	5
	offset	73 120
	bbox	50 30 40 91
	frame	data/chars/xkyo/pik05.png
	frame	data/chars/xkyo/pik05.png
		
anim	freespecial7
	energycost	7
	mponly	1
	cancel	10 21 0 s freespecial8
	cancel	10 21 0 a freespecial8
	loop	0
	delay	7
	offset	67 123
	bbox	0 0 0 0
	forcedirection	-1
	fastattack	1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xkyo/pwy01.png
	frame	data/chars/xkyo/pwy02.png
	sound	data/sounds/xkyo01.wav
	frame	data/chars/xkyo/pwy03.png
	delay	4
	@cmd	spawn01 "dust" 1 1 1
	@cmd	dasher 3 0 0
	frame	data/chars/xkyo/pwy04.png
	@cmd	spawnbind2 "xkyopw" 60 40 1 "ANI_FOLLOW2"
	frame	data/chars/xkyo/pwy05.png
	frame	data/chars/xkyo/pwy06.png
	frame	data/chars/xkyo/pwy07.png
	@cmd	dasher 2 0 0
	attack10	60 40 85 50 20 1 0 0 25 15
	dropv	3 1.2
	frame	data/chars/xkyo/pwy09.png
	frame	data/chars/xkyo/pwy10.png
	delay	5
	frame	data/chars/xkyo/pwy11.png
	@cmd	dasher 1 0 0
	frame	data/chars/xkyo/pwy12.png
	frame	data/chars/xkyo/pwy13.png
	attack10	0 0 0 0
	delay	2
	frame	data/chars/xkyo/pwy14.png
	frame	data/chars/xkyo/pwy14.png
	@cmd	stop
	frame	data/chars/xkyo/pwy15.png
	frame	data/chars/xkyo/pwy15.png
	frame	data/chars/xkyo/pwy16.png
	frame	data/chars/xkyo/pwy16.png
	frame	data/chars/xkyo/pwy16.png
	frame	data/chars/xkyo/pwy17.png
	frame	data/chars/xkyo/pwy17.png
	frame	data/chars/xkyo/pwy17.png
		
anim	freespecial8
	energycost	5
	mponly	1
	cancel	11 19 0 s freespecial3
	cancel	11 19 0 s freespecial3
	loop	0
	delay	4
	offset	67 123
	bbox	0 0 0 0
	forcedirection	-1
	fastattack	1
	hitfx	data/sounds/beat5.wav
	attack8	0 0 0 0
	frame	data/chars/xkyo/pwx3.png
	sound	data/sounds/xkyo02.wav
	frame	data/chars/xkyo/pwx4.png
	frame	data/chars/xkyo/pwx5.png
	frame	data/chars/xkyo/pwx6.png
	@cmd	spawn01 "dust" 1 1 1
	@cmd	dasher 2 0 0
	delay	4
	sound	data/sounds/punch2.wav
	frame	data/chars/xkyo/pwx7.png
	frame	data/chars/xkyo/pwx8.png
	@cmd	spawnbind2 "xkyopw" 70 75 -1 "ANI_FOLLOW3"
	frame	data/chars/xkyo/pwx9.png
	frame	data/chars/xkyo/pwx10.png
	attack10	65 40 80 40 20 1 0 0 25 15
	dropv	3 1.5
	frame	data/chars/xkyo/pwx11.png
	delay	5
	@cmd	dasher 1 0 0
	frame	data/chars/xkyo/pwx12.png
	frame	data/chars/xkyo/pwx13.png
	@cmd	stop
	frame	data/chars/xkyo/pwx14.png #11
	attack10	0 0 0 0
	delay	2
	frame	data/chars/xkyo/pwx15.png
	frame	data/chars/xkyo/pwx15.png
	frame	data/chars/xkyo/pwx16.png
	frame	data/chars/xkyo/pwx16.png
	frame	data/chars/xkyo/pwx16.png
	frame	data/chars/xkyo/pwx17.png
	frame	data/chars/xkyo/pwx17.png
	frame	data/chars/xkyo/pwx17.png
		
anim	freespecial9
	energycost	12
	mponly	1
	loop	0
	delay	8
	offset	77 120
	bbox	0 0 0 0
	jumpframe	3 4 1
	landframe	10
	fastattack	1
	forcedirection	-1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo04.wav
	@cmd	dasher 1.5 0 0
	frame	data/chars/xkyo/a12.png
	frame	data/chars/xkyo/a13.png
	attack10	73 32 64 80 15 1 0 0 15 15
	dropv	4 1
	frame	data/chars/xkyo/a14.png
	attack10	0 0 0 0
	offset	95 123
	frame	data/chars/xkyo/sp05.png
	@cmd	spawnbind2 "xkyopw" 70 45 1 "ANI_FOLLOW2"
	attack10	55 10 100 110 6 1 0 0 35 20
	dropv	2 1
	frame	data/chars/xkyo/sp06.png
	attack10	0 0 0 0
	frame	data/chars/xkyo/sp07.png
	hitflash	flashscreen1
	hitfx	data/sounds/burn.wav
	burn	55 10 100 110 20 1 0 0 3 20
	dropv	4 1
	frame	data/chars/xkyo/sp08.png
	@cmd	spawnbind2 "xkyopw" -40 80 1 "ANI_FOLLOW3"
	frame	data/chars/xkyo/sp09.png
	frame	data/chars/xkyo/sp10.png
	burn	0 0 0 0
	delay	15
	delay	500
	frame	data/chars/xkyo/sp11.png
	offset	73 120
	delay	12
	frame	data/chars/xkyo/pik05.png #11
		
anim	get
	delay	9
	offset	73 120
	bbox	0 0 0 0
	frame	data/chars/xkyo/pik05.png
	delay	15
	frame	data/chars/xkyo/pik07.png
	delay	9
	frame	data/chars/xkyo/pik06.png
	frame	data/chars/xkyo/pik05.png
		
anim	grab
	loop	0
	delay	12
	offset	73 120
	bbox	50 25 40 91
	frame	data/chars/xkyo/grab01.png
		
anim	grabattack
	loop	0
	delay	5
	offset	73 120
	bbox	50 25 40 91
	attack	0 0 0 0
	frame	data/chars/xkyo/grab01.png
	delay	23
	attack6	75 50 40 44 15 0 1 0 16 0
	frame	data/chars/xkyo/grab02.png
		
anim	grabattack2
	loop	0
	delay	7
	attackone	0
	offset	73 120
	bbox	0 0 0 0
	hitfx	data/sounds/beat5.wav
	fastattack	1
	attack	0 0 0 0
	sound	data/sounds/xkyo03.wav
	frame	data/chars/xkyo/grab01.png
	offset	73 134
	frame	data/chars/xkyo/grab10.png
	frame	data/chars/xkyo/grab11.png
	delay	10
	attack	70 2 60 80 12 0 0 0 12 0
	frame	data/chars/xkyo/grab12.png
	attack	0 0 0 0
	frame	data/chars/xkyo/grab13.png
	attack8	70 20 70 60 12 0 0 0 20 0
	frame	data/chars/xkyo/grab14.png
	attack8	0 0 0 0
	frame	data/chars/xkyo/grab15.png
	attack8	75 50 73 40 12 0 0 0 30 0
	frame	data/chars/xkyo/grab16.png
	attack8	0 0 0 0
	frame	data/chars/xkyo/grab17.png
	frame	data/chars/xkyo/grab18.png
	offset	55 110
	frame	data/chars/xkyo/blk01.png
		
anim	grabbackward
	otg	2
	loop	0
	delay	12
	attackone	0
	offset	73 120
	bbox	0 0 0 0
	forcedirection	-1
	@cmd	slamstart
	sound	data/sounds/grab.wav
	@cmd	position 10 35 48 -1 -1
	frame	data/chars/xkyo/grab01.png
	offset	135 120
	
	@cmd	position 11 30 48 -1 -1
	frame	data/chars/xkyo/thr01.png
	
	@cmd	position 0 10 75 -1 1
	frame	data/chars/xkyo/thr02.png
	
	@cmd	position 6 -20 80 -1 1
	frame	data/chars/xkyo/thr03.png
	delay	3
	
	@cmd	position 1 -40 15 1 1
	frame	data/chars/xkyo/thr03a.png
	delay	8
	@cmd	depost 0
	@cmd	finish 60 1 -2 -4 0 1
	frame	data/chars/xkyo/thr03a.png
	delay	20
	frame	data/chars/xkyo/thr04.png
	delay	9
	frame	data/chars/xkyo/thr05.png
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xkyo/thr06.png
	hitflash	flashscreen1
	attack11	30 95 85 35 50 1 0 0 50 10
	dropv	2 -2
	frame	data/chars/xkyo/thr07.png
	delay	25
	frame	data/chars/xkyo/thr07.png
	delay	9
	frame	data/chars/xkyo/thr08.png
	offset	66 120
	@cmd	flip
	frame	data/chars/xkyo/pik06.png
	offset	73 120
	frame	data/chars/xkyo/pik05.png
		
anim	grabbed
	loop	0
	delay	10
	offset	73 120
	bbox	50 25 40 91
	frame	data/chars/xkyo/pain0.png
		
anim	grabforward
	loop	0
	delay	5
	offset	73 120
	bbox	50 25 40 91
	attack	0 0 0 0
	frame	data/chars/xkyo/grab01.png
	delay	23
	attack6	75 50 40 44 15 0 1 0 16 0
	frame	data/chars/xkyo/grab03.png
		
anim	grabforward2
	loop	0
	delay	9
	attackone	0
	offset	73 120
	bbox	0 0 0 0
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo01.wav
	fastattack	1
	staydown	400 400
	attack	0 0 0 0
	frame	data/chars/xkyo/pik05.png
	frame	data/chars/xkyo/pik06.png
	frame	data/chars/xkyo/grab20.png
	@cmd	dasher 2 0 0
	attack9	75 40 40 50 25 1 0 0 30 0
	dropv	1 3
	frame	data/chars/xkyo/grab21.png
	frame	data/chars/xkyo/grab22.png
	attack9	0 0 0 0
	@cmd	stop
	delay	25
	frame	data/chars/xkyo/grab22.png
	delay	10
	frame	data/chars/xkyo/grab23.png
	offset	42 119
	frame	data/chars/xkyo/walk04.png
		
anim	idle
	loop	1
	delay	8
	offset	33 110
	bbox	10 18 40 91
	frame	data/chars/xkyo/idle01.png
	@cmd	clearL
	frame	data/chars/xkyo/idle02.png
	frame	data/chars/xkyo/idle03.png
	frame	data/chars/xkyo/idle04.png
	frame	data/chars/xkyo/idle05.png
	frame	data/chars/xkyo/idle06.png
	frame	data/chars/xkyo/idle07.png
	frame	data/chars/xkyo/idle08.png
	frame	data/chars/xkyo/idle09.png
	frame	data/chars/xkyo/idle10.png
		
anim	jump
	cancel	0 7 0 S freespecial6
	loop	0
	delay	7
	offset	90 144
	bbox	75 37 45 51
	frame	data/chars/xkyo/jump01.png
	frame	data/chars/xkyo/jump02.png
	frame	data/chars/xkyo/jump03.png
	delay	25
	frame	data/chars/xkyo/jump04.png
	delay	7
	frame	data/chars/xkyo/jump03.png
	frame	data/chars/xkyo/jump02.png
	frame	data/chars/xkyo/jump01.png
		
anim	jumpattack
	loop	0
	delay	7
	offset	90 160
	bbox	70 40 38 42
	forcedirection	-1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/punch2.wav
	frame	data/chars/xkyo/jpatk20.png
	frame	data/chars/xkyo/jpatk21.png
	frame	data/chars/xkyo/jpatk22.png
	staydown	500 500
	attack	80 60 82 50 25 1 0 0 35 0
	frame	data/chars/xkyo/jpatk23.png
		
anim	jumpattack2
	loop	0
	delay	7
	offset	90 144
	bbox	70 40 38 42
	frame	data/chars/xkyo/jpatk10.png
	attack2	90 60 47 55 12 0 0 0 35 0
	frame	data/chars/xkyo/jpatk11.png
		
anim	jumpattack3
	followanim	6
	followcond	1
	fastattack	1
	loop	0
	delay	12
	offset	90 144
	bbox	70 40 38 42
	jumpframe	1 -1 3.5
	landframe	4 dust
	attack	0 0 0 0
	@cmd	leaper -1 3
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xkyo02.wav
	frame	data/chars/xkyo/jpbtk02a.png
	frame	data/chars/xkyo/jpbtk03.png
	attack	84 45 75 70 20 1 0 0 35 0
	dropv	2 4
	frame	data/chars/xkyo/jpbtk04.png
	delay	500
	frame	data/chars/xkyo/jpbtk04.png
	delay	9
	offset	73 120
	bbox	60 50 38 42
	frame	data/chars/xkyo/pik06.png
	frame	data/chars/xkyo/pik05.png
		
anim	jumpdelay
	loop	0
	delay	7
	offset	90 144
	bbox	70 65 40 75
	frame	data/chars/xkyo/jump00.png
		
anim	jumpforward
	loop	0
	delay	6
	offset	90 144
	bbox	70 40 38 42
	forcedirection	-1
	sound	data/sounds/punch1.wav
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xkyo/jpatk01.png
	frame	data/chars/xkyo/jpatk02.png
	frame	data/chars/xkyo/jpatk03.png
	delay	12
	staydown	500 500
	attack	90 50 82 47 25 1 0 0 35 0
	frame	data/chars/xkyo/jpatk04a.png
	delay	20
	frame	data/chars/xkyo/jpatk04.png
	delay	5
	attack	0 0 0 0
	frame	data/chars/xkyo/jpatk05.png
		
anim	jumpland
	loop	0
	delay	7
	offset	90 144
	bbox	70 65 40 75
	frame	data/chars/xkyo/jump00.png
		
anim	pain
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	frame	data/chars/xkyo/pain0.png
	offset	70 120
	frame	data/chars/xkyo/pain1.png
	offset	76 120
	frame	data/chars/xkyo/pain1.png
	delay	15
	offset	73 120
	frame	data/chars/xkyo/pain1.png
		
anim	pain2
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	frame	data/chars/xkyo/pain0.png
	offset	70 120
	frame	data/chars/xkyo/pain2.png
	offset	76 120
	frame	data/chars/xkyo/pain2.png
	delay	15
	offset	73 120
	frame	data/chars/xkyo/pain2.png
		
anim	pain3
	loop	0
	delay	2
	offset	73 120
	bbox	50 25 40 91
	move	-6
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain1.png
	frame	data/chars/xkyo/pain1.png
	frame	data/chars/xkyo/pain1.png
	move	-4
	frame	data/chars/xkyo/pain1.png
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain2.png
	move	-2
	frame	data/chars/xkyo/pain2.png
	frame	data/chars/xkyo/pain2.png
	frame	data/chars/xkyo/pain2.png
	delay	50
	frame	data/chars/xkyo/pain2.png
		
anim	pain5
	loop	0
	delay	12
	offset	73 120
	bbox	50 25 40 91
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain1.png
	frame	data/chars/xkyo/pain0.png
	frame	data/chars/xkyo/pain2.png
	frame	data/chars/xkyo/pik05.png
	delay	30
	frame	data/chars/xkyo/pik06.png
	delay	12
	frame	data/chars/xkyo/pik05.png
		
anim	pain6
	loop	0
	delay	12
	offset	73 120
	bbox	0 0 0 0
	frame	data/chars/xkyo/fall1.png
	frame	data/chars/xkyo/fall2.png
	frame	data/chars/xkyo/fall3.png
	frame	data/chars/xkyo/fall5.png
	frame	data/chars/xkyo/fall4.png
	delay	900
	frame	data/chars/xkyo/fall4.png
	delay	9
	frame	data/chars/xkyo/rise1.png
	frame	data/chars/xkyo/rise2.png
	offset	73 135
	frame	data/chars/xkyo/rise3.png
	offset	73 120
	frame	data/chars/xkyo/rise4.png
	frame	data/chars/xkyo/pik05.png
		
anim	respawn
	loop	0
	delay	12
	offset	91 138
	bbox	0 0 0 0
	frame	data/chars/xkyo/spp01.png
	delay	6
	sound	data/sounds/xkyotlk.wav
	frame	data/chars/xkyo/spp02.png
	frame	data/chars/xkyo/spp03.png
	frame	data/chars/xkyo/spp04.png #3
	frame	data/chars/xkyo/spp05.png
	frame	data/chars/xkyo/spp06.png
	@cmd	looper 3 1
	frame	data/chars/xkyo/spp07.png
	offset	88 121
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp11.png
	delay	20
	frame	data/chars/xkyo/spp11.png
		
anim	rise
	loop	0
	delay	25
	offset	73 120
	bbox	0 0 0 0
	frame	data/chars/xkyo/fall4.png
	delay	9
	frame	data/chars/xkyo/rise1.png
	frame	data/chars/xkyo/rise2.png
	offset	73 135
	frame	data/chars/xkyo/rise3.png
	offset	73 120
	frame	data/chars/xkyo/rise4.png
	frame	data/chars/xkyo/pik05.png
		
anim	run
	loop	1
	delay	7
	offset	67 120
	bbox	50 35 35 85
	frame	data/chars/xkyo/run01.png
	sound	data/sounds/run.wav
	delay	8
	frame	data/chars/xkyo/run02.png
	delay	7
	frame	data/chars/xkyo/run03.png
	frame	data/chars/xkyo/run04.png
	delay	8
	sound	data/sounds/run.wav
	frame	data/chars/xkyo/run05.png
	delay	7
	frame	data/chars/xkyo/run06.png
		
anim	runattack
	loop	0
	delay	8
	offset	73 120
	bbox	50 25 40 91
	forcedirection	-1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo02.wav
	@cmd	dasher 2.5 0 0
	frame	data/chars/xkyo/a12.png
	sound	data/sounds/punch3.wav
	attack8	75 25 60 45 15 0 0 0 5 0
	frame	data/chars/xkyo/a30.png
	attack8	0 0 0 0
	delay	5
	frame	data/chars/xkyo/a31.png
	frame	data/chars/xkyo/a31a.png
	delay	9
	@cmd	dasher 2 0 0
	attack	75 25 75 45 30 1 1 0 30 0
	dropv	2 4 0
	frame	data/chars/xkyo/a32.png
	delay	9
	attack	75 25 60 45 60 1 1 0 30 0
	dropv	2 4 0
	delay	7
	frame	data/chars/xkyo/a33.png
	@cmd	dasher 1 0 0
	frame	data/chars/xkyo/a33.png
	delay	14
	@cmd	stop
	frame	data/chars/xkyo/a34.png
	attack	0 0 0
	delay	8
	frame	data/chars/xkyo/a05.png
	frame	data/chars/xkyo/a04.png
		
anim	runjump
	cancel	0 7 0 S freespecial6
	loop	0
	delay	6
	offset	90 144
	bbox	75 37 40 51
	frame	data/chars/xkyo/jump01.png
	frame	data/chars/xkyo/jump02.png
	frame	data/chars/xkyo/jump03.png
	delay	120
	frame	data/chars/xkyo/jump04.png
	delay	8
	frame	data/chars/xkyo/jump03.png
	frame	data/chars/xkyo/jump02.png
	frame	data/chars/xkyo/jump01.png
		
anim	runjumpattack
	loop	0
	delay	5
	offset	90 135
	bbox	70 40 38 42
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/punch.wav
	forcedirection	-1
	staydown	200 200
	frame	data/chars/xkyo/jpatk30.png
	frame	data/chars/xkyo/jpatk31.png
	delay	8
	attack10	90 15 60 115 10 1 1 0 20 0
	dropv	2.6 3 0
	frame	data/chars/xkyo/jpatk32.png
	frame	data/chars/xkyo/jpatk33.png
	attack10	0 0 0 0
	delay	5
	frame	data/chars/xkyo/jpatk34.png
	@cmd	leaper 2.9 0.2 0
	sound	data/sounds/punch.wav
	frame	data/chars/xkyo/jpatk35.png
	delay	8
	attack	90 15 60 115 10 1 1 0 30 0
	dropv	2.6 4 0
	frame	data/chars/xkyo/jpatk36.png
	delay	12
	frame	data/chars/xkyo/jpatk37.png
	attack	0 0 0 0
	delay	8
	frame	data/chars/xkyo/jpatk35.png
	frame	data/chars/xkyo/jpatk38.png
		
anim	runslide
	loop	0
	delay	6
	offset	73 123
	bbox	50 80 50 40
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 3 0 0
	frame	data/chars/xkyo/pik05.png
	frame	data/chars/xkyo/pik06.png
	@cmd	spawn01 "dust" 1 1 1
	offset	90 123
	bbox	65 80 50 40
	frame	data/chars/xkyo/b50.png
	attack10	85 80 80 40 12 1 0 0 20 0
	dropv	2 2.5
	sound	data/sounds/punch3.wav
	frame	data/chars/xkyo/b51.png
	delay	11
	frame	data/chars/xkyo/b52.png
	attack10	0 0 0 0
	delay	6
	@cmd	dasher 2 0 0
	frame	data/chars/xkyo/b53.png
	frame	data/chars/xkyo/b54.png
	attack9	85 80 100 40 20 1 0 0 20 0
	dropv	0.3 4
	delay	8
	frame	data/chars/xkyo/b55.png
	frame	data/chars/xkyo/b56.png
	@cmd	dasher 1 0 0
	frame	data/chars/xkyo/b55.png
	attack9	0 0 0
	frame	data/chars/xkyo/b54.png
	frame	data/chars/xkyo/b53.png
	@cmd	stop
	frame	data/chars/xkyo/b50.png
	offset	73 123
	frame	data/chars/xkyo/pik06.png
	frame	data/chars/xkyo/pik05.png
		
anim	select
	fshadow	0
	loop	0
	delay	5
	offset	0 0
	sound	data/sounds/blink.wav
	frame	data/chars/xkyo/xwait2.png
	sound	data/sounds/xkyotlk.wav
	frame	data/chars/xkyo/xwait3.png
	frame	data/chars/xkyo/xwait2.png #2
	frame	data/chars/xkyo/xwait3.png
	@cmd	looper 2 10
	delay	100
	frame	data/chars/xkyo/xwait2.png
		
anim	spawn
	loop	0
	delay	12
	offset	91 138
	bbox	0 0 0 0
	frame	data/chars/xkyo/spp01.png
	delay	6
	sound	data/sounds/xkyotlk.wav
	frame	data/chars/xkyo/spp02.png
	frame	data/chars/xkyo/spp03.png
	frame	data/chars/xkyo/spp04.png #3
	frame	data/chars/xkyo/spp05.png
	frame	data/chars/xkyo/spp06.png
	@cmd	looper 3 1
	frame	data/chars/xkyo/spp07.png
	offset	88 121
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp11.png
	delay	20
	frame	data/chars/xkyo/spp11.png
		
anim	special
	energycost	40
	mponly	1
	loop	0
	delay	9
	offset	92 161
	bbox	0 0 0 0
	staydown	500 500
	hitfx	data/sounds/burn.wav
	sound	data/sounds/xkyochrg.wav
	frame	data/chars/xkyo/pwxx01.png
	frame	data/chars/xkyo/pwxx02.png
	frame	data/chars/xkyo/pwxx03.png
	delay	15
	frame	data/chars/xkyo/pwxx04.png
	sound	data/sounds/super2.wav
	delay	6
	@cmd	spawnAni "xkyopw" 0 1 -5 "ANI_FOLLOW1"
	@cmd	spawnAni "xkyopw" -40 1 -5 "ANI_FOLLOW1"
	@cmd	spawnAni "xkyopw" 40 1 -5 "ANI_FOLLOW1"
	frame	data/chars/xkyo/pwxx05.png
	burn	20 40 150 100 25 1 0 0 4 0
	dropv	5 1
	frame	data/chars/xkyo/pwxx06.png
	frame	data/chars/xkyo/pwxx07.png
	frame	data/chars/xkyo/pwxx08.png
	burn	0 0 0 0
	frame	data/chars/xkyo/pwxx09.png
	@cmd	looper 4 4
	delay	25
	frame	data/chars/xkyo/pwxx04.png
	delay	9
	frame	data/chars/xkyo/pwxx03.png
	frame	data/chars/xkyo/pwxx02.png
	frame	data/chars/xkyo/pwxx01.png
		
anim	waiting
	fshadow	0
	loop	1
	delay	12
	offset	0 0
	frame	data/chars/xkyo/xwait1.png
	frame	data/chars/xkyo/xwait1.png
		
anim	walk
	loop	1
	delay	10
	offset	42 120
	bbox	20 20 40 90
	frame	data/chars/xkyo/walk01.png
	frame	data/chars/xkyo/walk02.png
	frame	data/chars/xkyo/walk03.png
	frame	data/chars/xkyo/walk04.png
	frame	data/chars/xkyo/walk05.png
		
anim	walkoff
	loop	0
	delay	12
	offset	90 144
	bbox	70 31 40 85
	frame	data/chars/xkyo/jump02.png
		
#|edited by openBor Stats v 0.53
		
