name goldengloves
type player
health  170
	attack	0 0 0 0 0 0 0 0 0 0
	offset	25 101
	frame	data/chars/goldengloves/attack4-07.png
	attack	36 15 44 46 20 0 1 0 20 20
	offset	25 104
	frame	data/chars/goldengloves/attack4-08.png
	attack	36 15 46 46 20 0 0 1 20 20
	offset	25 102
	frame	data/chars/goldengloves/attack4-09.png
	offset	25 102
	frame	data/chars/goldengloves/attack4-10.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	20 97
	frame	data/chars/goldengloves/runattack-04.png
	offset	17 97
	frame	data/chars/goldengloves/runattack-05.png
	sound	data/sounds/punch2.wav
	offset	23 107
	frame	data/chars/goldengloves/runattack-06.png
	sound	data/sounds/goldshu.wav
	attack	23 -6 66 54 40 0 1 0 15 20
	offset	13 87
	frame	data/chars/goldengloves/runattack-07.png
	offset	12 85
	frame	data/chars/goldengloves/runattack-08.png
	delay	3
	offset	12 85
	frame	data/chars/goldengloves/runattack-09.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	12 88
	frame	data/chars/goldengloves/runattack-10.png
	offset	11 90
	frame	data/chars/goldengloves/runattack-11.png
	offset	10 92
	frame	data/chars/goldengloves/runattack-12.png
	offset	14 96
	frame	data/chars/goldengloves/runattack-13.png
	offset	19 101
	frame	data/chars/goldengloves/runattack-14.png
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-12.png
	hitfx	data/sounds/hard2.wav
	offset	24 104
	frame	data/chars/goldengloves/attack5-01.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-02.png
	attack	26 7 64 37 20 0 1 0 15 20
	delay	3
	offset	24 101
	frame	data/chars/goldengloves/attack5-03.png
	offset	24 104
	frame	data/chars/goldengloves/attack-01.png
	sound	data/sounds/goldshh.wav
	offset	24 103
	frame	data/chars/goldengloves/attack-02.png
	attack	20 19 54 33 10 0 1 0 5 15
	offset	24 104
	frame	data/chars/goldengloves/attack-03.png
	offset	24 104
	frame	data/chars/goldengloves/attack-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 104
	frame	data/chars/goldengloves/attack-01.png
	offset	24 104
	frame	data/chars/goldengloves/attack2-01.png
	sound	data/sounds/goldshh.wav
	offset	23 103
	frame	data/chars/goldengloves/attack2-02.png
	attack	26 11 64 36 20 0 1 0 12 20
	offset	23 103
	frame	data/chars/goldengloves/attack2-03.png
	offset	23 103
	frame	data/chars/goldengloves/attack2-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 104
	frame	data/chars/goldengloves/attack2-05.png
	offset	24 104
	frame	data/chars/goldengloves/attack2-06.png
	offset	24 102
	sound	data/sounds/goldshu.wav
	frame	data/chars/goldengloves/attack3-01.png
	offset	23 103
	frame	data/chars/goldengloves/attack3-02.png
	offset	23 103
	frame	data/chars/goldengloves/attack3-03.png
	attack	36 7 59 31 0 0 1 0 8 20
	offset	23 103
	frame	data/chars/goldengloves/attack3-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 103
	frame	data/chars/goldengloves/attack3-05.png
	offset	24 104
	frame	data/chars/goldengloves/attack3-06.png
	offset	26 94
	hitfx	data/sounds/beat5.wav
	frame	data/chars/goldengloves/attack4-01.png
	offset	26 88
	frame	data/chars/goldengloves/attack4-02.png
	sound	data/sounds/goldshh.wav
	attack	40 6 44 52 20 0 1 0 20 20
	offset	28 97
	frame	data/chars/goldengloves/attack4-03.png
	offset	27 97
	frame	data/chars/goldengloves/attack4-04.png
	offset	27 95
	frame	data/chars/goldengloves/attack4-05.png
	offset	26 91
	frame	data/chars/goldengloves/attack4-06.png
	sound	data/sounds/goldshh.wav
	attack	0 0 0 0 0 0 0 0 0 0
	offset	25 101
	frame	data/chars/goldengloves/attack4-07.png
	attack	36 15 44 46 20 0 1 0 20 20
	offset	25 104
	frame	data/chars/goldengloves/attack4-08.png
	attack	36 15 46 46 20 0 0 1 20 20
	offset	25 102
	frame	data/chars/goldengloves/attack4-09.png
	offset	25 102
	frame	data/chars/goldengloves/attack4-10.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	20 97
	frame	data/chars/goldengloves/runattack-04.png
	offset	17 97
	frame	data/chars/goldengloves/runattack-05.png
	sound	data/sounds/punch2.wav
	offset	23 107
	frame	data/chars/goldengloves/runattack-06.png
	sound	data/sounds/goldshu.wav
	attack	23 -6 66 54 40 0 1 0 15 20
	offset	13 87
	frame	data/chars/goldengloves/runattack-07.png
	offset	12 85
	frame	data/chars/goldengloves/runattack-08.png
	delay	3
	offset	12 85
	frame	data/chars/goldengloves/runattack-09.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	12 88
	frame	data/chars/goldengloves/runattack-10.png
	offset	11 90
	frame	data/chars/goldengloves/runattack-11.png
	offset	10 92
	frame	data/chars/goldengloves/runattack-12.png
	offset	14 96
	frame	data/chars/goldengloves/runattack-13.png
	offset	19 101
	frame	data/chars/goldengloves/runattack-14.png
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-12.png
	hitfx	data/sounds/hard2.wav
	offset	24 104
	frame	data/chars/goldengloves/attack5-01.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-02.png
	attack	26 7 64 37 20 0 1 0 15 20
	delay	3
	offset	24 101
	frame	data/chars/goldengloves/attack5-03.png
	hitfx	data/sounds/beat5.wav
	offset	48 92
	frame	data/chars/goldengloves/freespecial9-01.png
	sound	data/sounds/goldshh.wav
	attack	24 -3 61 62 20 0 1 0 10 20
	offset	40 97
	frame	data/chars/goldengloves/freespecial9-02.png
	sound	data/sounds/punch2.wav
	offset	30 121
	frame	data/chars/goldengloves/freespecial9-03.png
	offset	30 103
	frame	data/chars/goldengloves/freespecial9-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	30 100
	frame	data/chars/goldengloves/freespecial9-05.png
	offset	33 94
	frame	data/chars/goldengloves/freespecial9-06.png
	sound	data/sounds/goldshh.wav
	attack	16 -4 69 65 20 0 1 0 10 20
	offset	34 97
	frame	data/chars/goldengloves/freespecial9-07.png
	sound	data/sounds/punch2.wav
	offset	35 118
	frame	data/chars/goldengloves/freespecial9-08.png
	offset	35 107
	frame	data/chars/goldengloves/freespecial9-09.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	34 102
	frame	data/chars/goldengloves/freespecial9-10.png
	offset	27 102
	frame	data/chars/goldengloves/freespecial7-02.png
	offset	28 103
	frame	data/chars/goldengloves/freespecial7-03.png
	sound	data/sounds/goldeagle.wav
	offset	26 98
	frame	data/chars/goldengloves/freespecial7-04.png
	@cmd	spawnAni2 "goldenglovespw" 1 1 1 4 "ANI_FOLLOW6"
	attack	50 11 59 44 25 0 1 0 15 20
	delay	6
	offset	36 84
	frame	data/chars/goldengloves/freespecial7-05.png
	sound	data/sounds/punch2.wav
	delay	4
	offset	37 87
	frame	data/chars/goldengloves/freespecial7-06.png
	offset	36 90
	frame	data/chars/goldengloves/freespecial7-07.png
	offset	37 81
	frame	data/chars/goldengloves/freespecial7-08.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	2
	offset	41 84
	frame	data/chars/goldengloves/freespecial7-09.png
	attack	39 -6 46 70 25 1 1 0 15 20
	offset	34 94
	frame	data/chars/goldengloves/freespecial7-10.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	34 97
	frame	data/chars/goldengloves/freespecial7-11.png
	attack	15 -9 54 111 50 1 1 0 20 20
	dropv	3.5 0
	delay	6
	offset	11 139
	frame	data/chars/goldengloves/freespecial7-12.png
	sound	data/sounds/punch2.wav
	attack	15 -9 54 111 50 1 0 1 20 20
	dropv	3.5 0
	delay	8
	offset	21 119
	frame	data/chars/goldengloves/freespecial7-13.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	11
	offset	21 119
	frame	data/chars/goldengloves/freespecial7-14.png
	delay	8
	offset	22 119
	frame	data/chars/goldengloves/freespecial7-15.png
	delay	6
	offset	26 118
	frame	data/chars/goldengloves/freespecial7-16.png
	offset	27 114
	frame	data/chars/goldengloves/freespecial7-17.png
	delay	4
	offset	25 105
	frame	data/chars/goldengloves/freespecial7-18.png
	offset	24 105
	frame	data/chars/goldengloves/grabattack2-10.png
	offset	28 92
	delay	1
	hitfx	data/sounds/beat4.wav
	frame	data/chars/goldengloves/attack7-01.png
	delay	2
	offset	61 43
	frame	data/chars/goldengloves/attack7-02.png
	offset	61 43
	frame	data/chars/goldengloves/attack7-03.png
	offset	62 46
	frame	data/chars/goldengloves/attack7-04.png
	delay	3
	offset	64 50
	frame	data/chars/goldengloves/attack7-05.png
	delay	3
	offset	50 68
	frame	data/chars/goldengloves/attack7-06.png
	attack10	28 -3 48 78 40 1 1 0 18 20
	dropv	6.5 0.5
	delay	7
	offset	17 99
	frame	data/chars/goldengloves/attack7-07.png
	delay	4
	offset	18 138
	frame	data/chars/goldengloves/attack7-08.png
	delay	8
	offset	18 128
	frame	data/chars/goldengloves/attack7-09.png
	offset	18 127
	frame	data/chars/goldengloves/attack7-10.png
	delay	6
	offset	18 124
	frame	data/chars/goldengloves/attack7-11.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	18 118
	frame	data/chars/goldengloves/attack7-12.png
	offset	17 116
	frame	data/chars/goldengloves/attack7-13.png
	delay	4
	offset	18 114
	frame	data/chars/goldengloves/attack7-14.png
	offset	14 99
	frame	data/chars/goldengloves/grab-01.png
	delay	6
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	23 104
	frame	data/chars/goldengloves/attack7-15.png
	offset	24 105
	frame	data/chars/goldengloves/grabattack2-10.png
	sound	data/sounds/golditata.wav
	offset	24 103
	frame	data/chars/goldengloves/follow4-22.png
	offset	24 97
	frame	data/chars/goldengloves/follow4-23.png
	offset	24 96
	frame	data/chars/goldengloves/follow4-24.png
	offset	24 96
	frame	data/chars/goldengloves/follow4-25.png
	offset	24 97
	frame	data/chars/goldengloves/follow4-26.png
	offset	24 97
	frame	data/chars/goldengloves/follow4-23.png
	offset	24 96
	frame	data/chars/goldengloves/follow4-24.png
	offset	24 96
	frame	data/chars/goldengloves/follow4-25.png
	offset	24 97
	frame	data/chars/goldengloves/follow4-26.png
		
anim	freespecial1
	energycost	5
	mponly	1
	staydown	500 500
	fastattack	1
	forcedirection	-1
	delay	1
	hitfx	data/sounds/hard2.wav
	bbox	12 11 27 93
	offset	24 104
	frame	data/chars/goldengloves/attack5-01.png
	delay	5
	offset	24 104
	frame	data/chars/goldengloves/attack5-02.png
	sound	data/sounds/goldkono.wav
	attack	26 7 64 37 20 0 1 0 15 15
	delay	3
	offset	24 101
	frame	data/chars/goldengloves/attack5-03.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	3
	offset	19 99
	frame	data/chars/goldengloves/attack5-04.png
	delay	4
	hitfx	data/sounds/beat4.wav
	blast	31 -4 66 46 40 1 1 0 40 15
	dropv	2 4
	offset	11 96
	frame	data/chars/goldengloves/attack5-05.png
	delay	8
	offset	11 94
	frame	data/chars/goldengloves/attack5-06.png
	offset	12 94
	frame	data/chars/goldengloves/attack5-07.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	14 97
	frame	data/chars/goldengloves/attack5-08.png
	delay	10
	offset	14 99
	frame	data/chars/goldengloves/attack5-09.png
	delay	3
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-12.png
	delay	4
	offset	24 105
	frame	data/chars/goldengloves/attack4-12.png
		
anim	freespecial10
	energycost	5
	mponly	1
	staydown	200 200
	forcedirection	-1
	fastattack	1
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 0.2 0 0
	delay	5
	offset	33 94
	frame	data/chars/goldengloves/freespecial9-06.png
	attack	16 -4 69 65 20 0 1 0 10 20
	offset	34 97
	frame	data/chars/goldengloves/freespecial9-07.png
	sound	data/sounds/punch2.wav
	delay	3
	offset	35 118
	frame	data/chars/goldengloves/freespecial9-08.png
	offset	35 107
	frame	data/chars/goldengloves/freespecial9-09.png
	delay	6
	attack	0 0 0 0 0 0 0 0 0 0
	offset	34 102
	frame	data/chars/goldengloves/freespecial9-10.png
	offset	48 92
	frame	data/chars/goldengloves/freespecial9-01.png
	attack	24 -3 61 62 20 0 1 0 10 20
	offset	40 97
	frame	data/chars/goldengloves/freespecial9-02.png
	sound	data/sounds/punch2.wav
	delay	3
	offset	30 121
	frame	data/chars/goldengloves/freespecial9-03.png
	offset	30 103
	frame	data/chars/goldengloves/freespecial9-04.png
	delay	6
	attack	0 0 0 0 0 0 0 0 0 0
	offset	30 100
	frame	data/chars/goldengloves/freespecial9-05.png
	delay	5
	offset	33 94
	frame	data/chars/goldengloves/freespecial9-06.png
	attack	16 -4 69 65 20 0 1 0 10 20
	offset	34 97
	frame	data/chars/goldengloves/freespecial9-07.png
	sound	data/sounds/punch2.wav
	delay	3
	offset	35 118
	frame	data/chars/goldengloves/freespecial9-08.png
	offset	35 107
	frame	data/chars/goldengloves/freespecial9-09.png
	delay	6
	attack	0 0 0 0 0 0 0 0 0 0
	offset	34 102
	frame	data/chars/goldengloves/freespecial9-10.png
	delay	1
	hitfx	data/sounds/beat4.wav
	frame	data/chars/goldengloves/attack7-01.png
	delay	2
	offset	61 43
	frame	data/chars/goldengloves/attack7-02.png
	offset	61 43
	frame	data/chars/goldengloves/attack7-03.png
	offset	62 46
	frame	data/chars/goldengloves/attack7-04.png
	delay	5
	offset	64 50
	frame	data/chars/goldengloves/attack7-05.png
	sound	data/sounds/punch2.wav
	delay	3
	offset	50 68
	frame	data/chars/goldengloves/attack7-06.png
	sound	data/sounds/goldupper.wav
	attack10	28 -3 48 78 40 1 1 0 0 0
	dropv	6.5 0.5
	delay	7
	offset	17 99
	frame	data/chars/goldengloves/attack7-07.png
	@cmd	stop
	delay	4
	offset	18 138
	frame	data/chars/goldengloves/attack7-08.png
	delay	8
	offset	18 128
	frame	data/chars/goldengloves/attack7-09.png
	offset	18 127
	frame	data/chars/goldengloves/attack7-10.png
	delay	6
	offset	18 124
	frame	data/chars/goldengloves/attack7-11.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	18 118
	frame	data/chars/goldengloves/attack7-12.png
	offset	17 116
	frame	data/chars/goldengloves/attack7-13.png
	delay	4
	offset	18 114
	frame	data/chars/goldengloves/attack7-14.png
	offset	14 99
	frame	data/chars/goldengloves/grab-01.png
	delay	6
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	23 104
	frame	data/chars/goldengloves/attack7-15.png
	offset	24 105
	frame	data/chars/goldengloves/grabattack2-10.png
		
anim	freespecial12
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 0)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 70);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	fastattack	1
	loop	0
	forcedirection	-1
	hitflash	flashscreen1
	delay	5
	staydown	500 500
	bbox	0 0 0 0
	hitfx	data/sounds/beat4.wav
	@cmd	dasher 0.5
	offset	28 90
	frame	data/chars/goldengloves/attack6-01.png
	offset	27 106
	frame	data/chars/goldengloves/freespecial12-01.png
	delay	8
	offset	35 107
	frame	data/chars/goldengloves/freespecial12-02.png
	sound	data/sounds/goldkono1.wav
	delay	10
	offset	37 105
	frame	data/chars/goldengloves/freespecial12-03.png
	attack	18 -3 89 76 40 1 1 0 30 15
	dropv	2 4
	delay	8
	offset	40 101
	frame	data/chars/goldengloves/freespecial12-04.png
	delay	3
	offset	41 101
	frame	data/chars/goldengloves/freespecial12-05.png
	delay	6
	offset	41 102
	frame	data/chars/goldengloves/freespecial12-06.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	40 103
	frame	data/chars/goldengloves/freespecial12-07.png
	offset	31 105
	frame	data/chars/goldengloves/freespecial12-08.png
	delay	7
	offset	24 106
	frame	data/chars/goldengloves/freespecial12-09.png
		
anim	freespecial15
	cancel	2 11 0 d f j freespecial6
	delay	7
	bbox	9 11 26 95
	offset	23 106
	frame	data/chars/goldengloves/freespecial15-01.png
	delay	9
	bbox	5 11 25 98
	offset	22 108
	frame	data/chars/goldengloves/freespecial15-02.png
	sound	data/sounds/goldtaunt.wav
	bbox	9 11 25 98
	offset	27 109
	frame	data/chars/goldengloves/freespecial15-03.png
	bbox	15 10 25 98
	offset	33 108
	frame	data/chars/goldengloves/freespecial15-04.png
	bbox	15 10 25 98
	offset	34 108
	frame	data/chars/goldengloves/freespecial15-05.png
	delay	16
	bbox	15 10 25 98
	offset	33 108
	frame	data/chars/goldengloves/freespecial15-06.png
	delay	20
	bbox	15 10 25 98
	offset	34 108
	frame	data/chars/goldengloves/freespecial15-07.png
	delay	8
	bbox	9 11 25 98
	offset	27 109
	frame	data/chars/goldengloves/freespecial15-03.png
	bbox	5 11 25 98
	offset	22 108
	frame	data/chars/goldengloves/freespecial15-02.png
	bbox	9 11 26 95
	offset	23 106
	frame	data/chars/goldengloves/freespecial15-01.png
	bbox	9 10 27 95
	offset	24 104
	frame	data/chars/goldengloves/idle-03.png
		
anim	freespecial2
	bbox	20 5 32 85
	energycost	5
	mponly	1
	offset	28 92
	delay	1
	fastattack	1
	forcedirection	-1
	staydown	500 500
	hitfx	data/sounds/beat4.wav
	frame	data/chars/goldengloves/attack7-01.png
	@cmd	dasher 1 0 0
	delay	2
	offset	61 43
	frame	data/chars/goldengloves/attack7-02.png
	offset	61 43
	frame	data/chars/goldengloves/attack7-03.png
	offset	62 46
	frame	data/chars/goldengloves/attack7-04.png
	delay	5
	offset	64 50
	frame	data/chars/goldengloves/attack7-05.png
	delay	3
	offset	50 68
	frame	data/chars/goldengloves/attack7-06.png
	attack10	28 -3 48 78 40 1 1 0 15 15
	dropv	6.5 0.5
	delay	7
	offset	17 99
	frame	data/chars/goldengloves/attack7-07.png
	sound	data/sounds/goldupper.wav
	@cmd	stop
	delay	4
	offset	18 138
	frame	data/chars/goldengloves/attack7-08.png
	delay	8
	offset	18 128
	frame	data/chars/goldengloves/attack7-09.png
	offset	18 127
	frame	data/chars/goldengloves/attack7-10.png
	delay	6
	offset	18 124
	frame	data/chars/goldengloves/attack7-11.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	18 118
	frame	data/chars/goldengloves/attack7-12.png
	offset	17 116
	frame	data/chars/goldengloves/attack7-13.png
	delay	4
	offset	18 114
	frame	data/chars/goldengloves/attack7-14.png
	offset	14 99
	frame	data/chars/goldengloves/grab-01.png
	delay	6
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	23 104
	frame	data/chars/goldengloves/attack7-15.png
	offset	24 105
	frame	data/chars/goldengloves/grabattack2-10.png
		
anim	freespecial26
	energycost	35
	loop	0
	staydown	500 500
	forcedirection	-1
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	delay	3
	offset	34 89
	frame	data/chars/goldengloves/freespecial6-01.png
	sound	data/sounds/super1.wav
	@cmd	spawnAni2 "allsp" 1 1 1 4 "ANI_FOLLOW1"
	delay	4
	offset	34 66
	frame	data/chars/goldengloves/freespecial6-02.png
	sound	data/sounds/goldgo.wav
	offset	33 58
	frame	data/chars/goldengloves/freespecial6-03.png
	offset	34 55
	frame	data/chars/goldengloves/freespecial6-04.png
	delay	5
	offset	33 68
	frame	data/chars/goldengloves/freespecial6-05.png
	sound	data/sounds/punch2.wav
	delay	4
	offset	33 72
	frame	data/chars/goldengloves/freespecial6-06.png
	offset	34 71
	frame	data/chars/goldengloves/freespecial6-07.png
	delay	5
	offset	34 66
	frame	data/chars/goldengloves/freespecial6-08.png
	delay	3
	offset	33 59
	frame	data/chars/goldengloves/freespecial6-09.png
	offset	33 62
	frame	data/chars/goldengloves/freespecial6-10.png
	offset	33 71
	frame	data/chars/goldengloves/freespecial6-11.png
	delay	4
	offset	33 77
	frame	data/chars/goldengloves/freespecial6-12.png
	offset	33 75
	frame	data/chars/goldengloves/freespecial6-13.png
	delay	4
	offset	34 66
	frame	data/chars/goldengloves/freespecial6-02.png
	offset	33 58
	frame	data/chars/goldengloves/freespecial6-03.png
	offset	34 55
	frame	data/chars/goldengloves/freespecial6-04.png
	delay	5
	offset	33 68
	frame	data/chars/goldengloves/freespecial6-05.png
	sound	data/sounds/punch2.wav
	delay	4
	offset	33 72
	frame	data/chars/goldengloves/freespecial6-06.png
	offset	34 71
	frame	data/chars/goldengloves/freespecial6-07.png
	delay	5
	offset	34 66
	frame	data/chars/goldengloves/freespecial6-08.png
	delay	3
	offset	33 59
	frame	data/chars/goldengloves/freespecial6-09.png
	offset	33 62
	frame	data/chars/goldengloves/freespecial6-10.png
	offset	33 71
	frame	data/chars/goldengloves/freespecial6-11.png
	delay	4
	offset	33 77
	frame	data/chars/goldengloves/freespecial6-12.png
	delay	5
	offset	33 91
	frame	data/chars/goldengloves/freespecial6-14.png
	delay	4
	offset	33 94
	frame	data/chars/goldengloves/freespecial6-15.png
	offset	34 89
	frame	data/chars/goldengloves/freespecial6-01.png
	delay	4
	offset	34 66
	frame	data/chars/goldengloves/freespecial6-02.png
	offset	33 58
	frame	data/chars/goldengloves/freespecial6-03.png
	offset	34 55
	frame	data/chars/goldengloves/freespecial6-04.png
	delay	5
	offset	33 68
	frame	data/chars/goldengloves/freespecial6-05.png
	sound	data/sounds/punch2.wav
	delay	4
	offset	33 72
	frame	data/chars/goldengloves/freespecial6-06.png
	delay	3
	offset	31 91
	frame	data/chars/goldengloves/attackup-02.png
	offset	31 91
	frame	data/chars/goldengloves/attackup-02.png
	offset	31 91
	frame	data/chars/goldengloves/attackup-02.png
	bbox	22 9 30 83
	offset	35 92
	frame	data/chars/goldengloves/attack7-01.png
	offset	35 92
	frame	data/chars/goldengloves/attack7-01.png
	offset	35 92
	frame	data/chars/goldengloves/attack7-01.png
	offset	27 103
	frame	data/chars/goldengloves/runattack-01.png
	offset	27 103
	frame	data/chars/goldengloves/runattack-01.png
	offset	27 103
	frame	data/chars/goldengloves/runattack-01.png
	offset	24 101
	frame	data/chars/goldengloves/freespecial26-01.png
	offset	24 101
	frame	data/chars/goldengloves/freespecial26-01.png
	offset	24 101
	frame	data/chars/goldengloves/freespecial26-01.png
	offset	27 102
	frame	data/chars/goldengloves/freespecial7-02.png
	offset	27 102
	frame	data/chars/goldengloves/freespecial7-02.png
	offset	27 102
	frame	data/chars/goldengloves/freespecial7-02.png
	move	7
	delay	2
	@cmd	keymove 1.2
	offset	28 103
	frame	data/chars/goldengloves/freespecial7-03.png
	@cmd	keymove 1.2
	offset	28 103
	frame	data/chars/goldengloves/freespecial7-03.png
	@cmd	keymove 1.2
	offset	28 103
	frame	data/chars/goldengloves/freespecial7-03.png
	@cmd	keymove 1.2
	offset	26 98
	frame	data/chars/goldengloves/freespecial7-04.png
	@cmd	keymove 1.2
	offset	26 98
	frame	data/chars/goldengloves/freespecial7-04.png
	bbox	0 0 0 0
	@cmd	keymove 1.2
	offset	26 98
	frame	data/chars/goldengloves/freespecial7-04.png
	@cmd	keymove 1.2
	attack	5 -13 122 102 150 1 1 0 50 20
	offset	11 90
	frame	data/chars/goldengloves/freespecial26-02.png
	offset	10 90
	frame	data/chars/goldengloves/freespecial26-03.png
	@cmd	keymove 1.2
	offset	11 90
	frame	data/chars/goldengloves/freespecial26-02.png
	offset	10 90
	frame	data/chars/goldengloves/freespecial26-03.png
	@cmd	keymove 1.2
	offset	11 90
	frame	data/chars/goldengloves/freespecial26-02.png
	offset	10 90
	frame	data/chars/goldengloves/freespecial26-03.png
	@cmd	keymove 1.2
	offset	11 90
	frame	data/chars/goldengloves/freespecial26-02.png
	offset	10 90
	frame	data/chars/goldengloves/freespecial26-03.png
	@cmd	keymove 1.2
	offset	11 90
	frame	data/chars/goldengloves/freespecial26-02.png
	offset	10 90
	frame	data/chars/goldengloves/freespecial26-03.png
	@cmd	keymove 1.2
	offset	11 90
	frame	data/chars/goldengloves/freespecial26-02.png
	offset	10 90
	frame	data/chars/goldengloves/freespecial26-03.png
	@cmd	keymove 1.2
	offset	10 92
	frame	data/chars/goldengloves/freespecial26-04.png
	offset	13 87
	frame	data/chars/goldengloves/runattack-07.png
	delay	4
	offset	12 85
	frame	data/chars/goldengloves/runattack-08.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	12 85
	frame	data/chars/goldengloves/runattack-09.png
	offset	12 88
	frame	data/chars/goldengloves/runattack-10.png
	offset	11 90
	frame	data/chars/goldengloves/runattack-11.png
	@cmd	stop
	offset	10 92
	frame	data/chars/goldengloves/runattack-12.png
	offset	14 96
	frame	data/chars/goldengloves/runattack-13.png
	offset	19 101
	frame	data/chars/goldengloves/runattack-14.png
	delay	5
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-12.png
		
anim	freespecial27
	energycost	75
	mponly	1
	loop	0
	delay	7
	bbox	0 0 0 0
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	seal	15 2
	followanim	4
	followcond	1
	hitfx	data/sounds/empty.wav
	sound	data/sounds/goldkorede.wav
	offset	35 92
	frame	data/chars/goldengloves/attack7-01.png
	sound	data/sounds/super1.wav
	@cmd	spawn04 "allsp" 1 1 1 4
	offset	31 91
	frame	data/chars/goldengloves/attackup-02.png
	delay	20
	offset	40 74
	frame	data/chars/goldengloves/freespecial27-01.png
	delay	4
	offset	24 104
	frame	data/chars/goldengloves/freespecial27-02.png
	offset	24 104
	frame	data/chars/goldengloves/freespecial27-02.png
	offset	24 105
	frame	data/chars/goldengloves/freespecial27-03.png
	offset	24 105
	frame	data/chars/goldengloves/freespecial27-03.png
	sound	data/sounds/goldfinish.wav
	offset	24 105
	frame	data/chars/goldengloves/freespecial27-04.png
	offset	24 105
	frame	data/chars/goldengloves/freespecial27-04.png
	offset	24 105
	frame	data/chars/goldengloves/freespecial27-05.png
	offset	24 105
	frame	data/chars/goldengloves/freespecial27-05.png
	offset	23 103
	frame	data/chars/goldengloves/freespecial27-06.png
	offset	20 97
	frame	data/chars/goldengloves/freespecial27-07.png
	delay	2
	move	7
	attack	8 0 50 73 0 0 0 0 10 20
	@cmd	keymove 1.2
	offset	24 72
	frame	data/chars/goldengloves/freespecial27-08.png
	offset	33 73
	frame	data/chars/goldengloves/freespecial27-09.png
	attack	40 0 55 71 0 0 0 0 10 20
	@cmd	keymove 1.2
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	@cmd	keymove 1.2
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	@cmd	keymove 1.2
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	@cmd	keymove 1.2
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	@cmd	keymove 1.2
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	@cmd	keymove 1.2
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
	offset	43 71
	frame	data/chars/goldengloves/freespecial27-10.png
