name          overlord2
	@cmd	attack1 -170 170 500 "Ani_FOLLOW15"
	frame	data/chars/beyond/3overlord/spawn01.gif
	@cmd	attack1 -170 170 500 "Ani_FOLLOW15"
	frame	data/chars/beyond/3overlord/spawn01.gif
	@cmd	attack1 -170 170 500 "Ani_FOLLOW15"
	frame	data/chars/beyond/3overlord/spawn01.gif
	@cmd	attack1 -170 170 500 "Ani_FOLLOW15"
	frame	data/chars/beyond/3overlord/spawn01.gif



anim	follow15
	loop	0
	delay	450
	offset	100 189
	bbox	0 0 0 0
	custentity   ovtlk3
	spawnframe   12 0 25 25 1
	platform	-30 680 10 10 30 30 500 150
	frame	data/chars/beyond/3overlord/spawn01.gif
	delay	12
	frame	data/chars/beyond/3overlord/spawn01.gif
	@cmd	killgun 30 1
	frame	data/chars/beyond/3overlord/spawn01.gif
	delay	70
	frame	data/chars/beyond/3overlord/spawn01.gif
	delay	12
	frame	data/chars/beyond/3overlord/spawn01.gif
	frame	data/chars/beyond/3overlord/spawn02.gif
	frame	data/chars/beyond/3overlord/spawn03.gif
	frame	data/chars/beyond/3overlord/spawn04.gif
	frame	data/chars/beyond/3overlord/death03.gif
	frame	data/chars/beyond/3overlord/death02.gif
	delay	100
	frame	data/chars/beyond/3overlord/idle39.gif
	delay	12
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	delay	200
	frame	data/chars/beyond/3overlord/idle39.gif
	delay	10
	frame	data/chars/beyond/3overlord/idle39.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/idle39.gif


anim	walk
	loop	1 4
	delay	9
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/wk00.gif
	frame	data/chars/beyond/3overlord/wk01.gif
	frame	data/chars/beyond/3overlord/wk02.gif
	frame	data/chars/beyond/3overlord/wk03.gif
	frame	data/chars/beyond/3overlord/wk04.gif
	frame	data/chars/beyond/3overlord/wk03.gif
	frame	data/chars/beyond/3overlord/wk02.gif
		
anim	walkoff
	loop	0
	delay	10
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/wk01.gif
	frame	data/chars/beyond/3overlord/wk02.gif
	frame	data/chars/beyond/3overlord/wk03.gif
	frame	data/chars/beyond/3overlord/wk04.gif
		
#-------------------//-----------//--------------------
#----------------//--DIE-/-CHANGE--//------------------
#-------------------//-----------//--------------------

anim	death
	loop	0
	delay	200
	offset	100 189
	bbox	0 0 0 0
	jumpframe	0 0.1 -5
	landframe	1 dust
	frame	data/chars/beyond/3overlord/pain8.gif
	delay	2
	move	-6
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	spawnbind "dust" -1 1 1
	frame	data/chars/beyond/3overlord/pain5.gif
	@cmd	subwall 0
	frame	data/chars/beyond/3overlord/pain5.gif
	@cmd	subplat 0
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	move	-4
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	move	-2
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	delay	12
	move	0
	frame	data/chars/beyond/3overlord/chg02.gif
	delay	100
	frame	data/chars/beyond/3overlord/chg01.gif
	delay	12
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg02.gif
	frame	data/chars/beyond/3overlord/chg03.gif
	delay	7
	frame	data/chars/beyond/3overlord/go01.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go03.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go04.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go06.gif
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go08.gif
	@cmd	move2 6830 330
	@cmd	target 1 1 1 1 0
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go06.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go04.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go03.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go01.gif
	delay	15
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg02.gif
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg01.gif
	@cmd	spawn01 "overlordfn" 0 0 0
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg01.gif
	@cmd	suicide
	frame	data/chars/beyond/3overlord/chg01.gif
		
