name          overlordfn
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/idle39.gif
	@cmd	damchg3
	frame	data/chars/beyond/3overlord/idle43.gif
	@cmd	clearL
	frame	data/chars/beyond/3overlord/idle42.gif
	frame	data/chars/beyond/3overlord/idle41.gif
	frame	data/chars/beyond/3overlord/idle40.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif

anim	upper
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	range	20 240
	rangez	-25 25
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	sound	data/sounds/laser.wav
	frame	data/chars/beyond/3overlord/ab03.gif
	@cmd	spawnbind4 "ovrshoot" -10 115 1 0 4
	frame	data/chars/beyond/3overlord/ls01.gif
	delay	7
	frame	data/chars/beyond/3overlord/ls02.gif
	frame	data/chars/beyond/3overlord/ls01.gif
	frame	data/chars/beyond/3overlord/ls02.gif
	frame	data/chars/beyond/3overlord/ls01.gif
	frame	data/chars/beyond/3overlord/ls02.gif
	frame	data/chars/beyond/3overlord/ls01.gif
	@cmd	looper 6 3
	frame	data/chars/beyond/3overlord/ls02.gif
	frame	data/chars/beyond/3overlord/ls01.gif
	frame	data/chars/beyond/3overlord/ls02.gif
	frame	data/chars/beyond/3overlord/ls01.gif
	frame	data/chars/beyond/3overlord/ls02.gif
	delay	12
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/e02.gif
	frame	data/chars/beyond/3overlord/e02.gif
	frame	data/chars/beyond/3overlord/e01.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif


	
anim	walk
	loop	1
	delay	7
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/wk15.gif
	frame	data/chars/beyond/3overlord/wk16a.gif
	frame	data/chars/beyond/3overlord/wk15b.gif
	frame	data/chars/beyond/3overlord/wk16.gif
		
anim	walkoff
	loop	0
	delay	10
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/wk01.gif
	frame	data/chars/beyond/3overlord/wk02.gif
	frame	data/chars/beyond/3overlord/wk03.gif
	frame	data/chars/beyond/3overlord/wk04.gif







#--------------------------------------------------------------
#----------------------//--5-stays-1--//-----------------------
#----------------//-1-is-set-for-next-change-//----------------
#--------------------------------------------------------------

anim	spawn
@script
	void self = getlocalvar("self");
	if(frame==5){
	changeentityproperty(self, "aggression", 30);
	}
@end_script
	loop	0
	delay	15
	offset	100 189
	bbox	0 0 0 0
	landframe 32 dust
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg01.gif
	delay	12
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	delay	100
	frame	data/chars/beyond/3overlord/chg01.gif
	delay	12
	frame	data/chars/beyond/3overlord/chg01.gif
	sound	data/sounds/overlord00.wav
	frame	data/chars/beyond/3overlord/chg02.gif
	@cmd	spawnGun4 "tentcl2" 0 0 2 1 7
	frame	data/chars/beyond/3overlord/chg03.gif
	@cmd	degravity 1
	@cmd	spawnAni "ldrpwr" 180 1 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 90 1 60 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 1 1 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -180 1 -55 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -90 1 60 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/wk00.gif
	delay	5
	@cmd	dasher 0 0.2 0
	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif
	drawmethod 256 256 0 0 0 1 1
	sound	data/sounds/overlord00.wav
	frame	data/chars/beyond/3overlord/spawn16.gif

	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif #15
	drawmethod 256 256 0 0 0 1 1
	frame	data/chars/beyond/3overlord/spawn16.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif
	drawmethod 256 256 0 0 0 1 1
	frame	data/chars/beyond/3overlord/spawn16.gif
	@cmd	looper 15 20
	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif
	@cmd	spawnAni "ldrpwr" 180 -70 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 90 -70 60 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 1 -70 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -180 -70 -55 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -90 -70 60 "ANI_FOLLOW5"
	drawmethod 256 256 0 0 0 1 1
	sound	data/sounds/overlord00.wav
	frame	data/chars/beyond/3overlord/spawn16.gif
	@cmd	stop

	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif #21
	drawmethod 256 256 0 0 0 1 1
	frame	data/chars/beyond/3overlord/spawn16.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif
	drawmethod 256 256 0 0 0 1 1
	frame	data/chars/beyond/3overlord/spawn16.gif
	@cmd	looper 21 20

	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif #25
	@cmd	spawnAni "ldrpwr" 180 -70 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 90 -70 60 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 1 -70 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -180 -70 -55 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -90 -70 60 "ANI_FOLLOW5"
	@cmd	degravity 0.8
	drawmethod 256 256 0 0 0 1 1
	sound	data/sounds/overlord00.wav
	frame	data/chars/beyond/3overlord/spawn16.gif

	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif #27
	drawmethod 256 256 0 0 0 1 1
	frame	data/chars/beyond/3overlord/spawn16.gif
	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif
	drawmethod 256 256 0 0 0 1 1
	frame	data/chars/beyond/3overlord/spawn16.gif
	@cmd	looper 27 50
	nodrawmethod
	frame	data/chars/beyond/3overlord/spawn15.gif
	delay	8
	frame	data/chars/beyond/3overlord/chg04.gif #32
	@cmd	degravity 0
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg02.gif
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg02.gif
	delay	3
	frame	data/chars/beyond/3overlord/idle43.gif #38
	frame	data/chars/beyond/3overlord/idle42.gif
	frame	data/chars/beyond/3overlord/idle41.gif
	frame	data/chars/beyond/3overlord/idle40.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	@cmd	looper 38 15
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle42.gif
	frame	data/chars/beyond/3overlord/idle41.gif
	frame	data/chars/beyond/3overlord/idle40.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/idle39.gif




#--------------------------------------------------------------------------
#----------------//--CHANGING-1-ARM-APPEAR--//-----------------------------
#----------------------//--5-stays-2--//-----------------------------------
#----------------//-2-is-set-for-next-change-//----------------------------
#--------------------------------------------------------------------------

anim	follow15
@script
	void self = getlocalvar("self");
	if(frame==10){
	changeentityproperty(self, "aggression", 50);
	}
@end_script
	loop	0
	delay	12
	offset	100 189
	bbox	0 0 0 0
	landframe 134 dust
	@cmd	target 1 1 1 1 0
	frame	data/chars/beyond/3overlord/chg04.gif #0
	@cmd	dasher -2 0 0
	frame	data/chars/beyond/3overlord/chg03.gif
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/beyond/3overlord/chg02.gif
	@cmd	clearL
	frame	data/chars/beyond/3overlord/chg01.gif
	@cmd	stop
	delay	180
	frame	data/chars/beyond/3overlord/chg01.gif
	delay	7
	frame	data/chars/beyond/3overlord/go01.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go03.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go04.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go06.gif #10
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go08.gif
	@cmd	move2 6830 330
	@cmd	target 1 1 1 1 0
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go06.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go04.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go03.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go01.gif
	delay	15
	frame	data/chars/beyond/3overlord/chg03.gif

	sound	data/sounds/overlord07.wav		#---------------------//---------

	frame	data/chars/beyond/3overlord/chg02.gif
	delay	250
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg01.gif
	frame	data/chars/beyond/3overlord/chg01.gif #23

#----------------------------------------------------------
#--------------------teleport-end-change-begin-------------
#----------------------------------------------------------

	delay	12
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg01.gif
	@cmd	degravity 1
	frame	data/chars/beyond/3overlord/chg02.gif
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg04.gif
	frame	data/chars/beyond/3overlord/chg05.gif
	@cmd	spawnGun8 "ovrshoot" -5 1 1 10 "ANI_FOLLOW4"
	frame	data/chars/beyond/3overlord/chg06.gif
	@cmd	dasher 0 0.6 0
	delay	7
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	spawnGun5 "ovrshoot" -5 150 -5 11 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif

	sound	data/sounds/overlord01.wav		#---------------------//---------

	frame	data/chars/beyond/3overlord/chg07.gif #38

	frame	data/chars/beyond/3overlord/chg08.gif #39
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	looper 39 4

	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	stop

	frame	data/chars/beyond/3overlord/chg08.gif #45
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif

	sound	data/sounds/overlord02.wav		#---------------------//---------

	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	shooter3 "ldrpwr" 1 -135 -50 -1.5 0 0 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 1 -135 70 -1.5 0 0 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 1 -135 -50 1.5 0 0 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 1 -135 70 1.5 0 0 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	shooter3 "ldrpwr" 1 -135 1 0 0 -0.1 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 1 -135 1 0 0 0.2 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 1 -135 10 -1.5 0 0 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 1 -135 10 1.5 0 0 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif #90
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	looper 45 4

	frame	data/chars/beyond/3overlord/chg08.gif #95
	frame	data/chars/beyond/3overlord/chg07.gif

	sound	data/sounds/overlord02.wav		#---------------------//---------

	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif #98
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	looper 98 11
	frame	data/chars/beyond/3overlord/chg07.gif

	sound	data/sounds/overlord03.wav		#---------------------//---------

	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	degravity 0.9
	@cmd	killgun 10 0
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	killgun 11 0
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	degravity 0
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif #124
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	delay	200
	frame	data/chars/beyond/3overlord/chg08.gif #133
	delay	12
	@cmd	target 1 1 1 1 0
	frame	data/chars/beyond/3overlord/chg04.gif #134 <----land
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg02.gif
	delay	120
	frame	data/chars/beyond/3overlord/chg01.gif #137
	delay	12
	frame	data/chars/beyond/3overlord/chg02.gif #138
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg04.gif
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/ab03.gif

	sound	data/sounds/overlord04.wav		#---------------------//---------

	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	@cmd	 playmusic "data/music/overlord3" 1
	frame	data/chars/beyond/3overlord/ab03a.gif

#----------------------------------------------------------
#-----------------------change-ends------------------------
#----------------------------------------------------------

	frame	data/chars/beyond/3overlord/ab03.gif #147
	@cmd	spawnGun7 "tentcl" 0 0 -1 20 1 "ANI_FOLLOW4"
	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif

	frame	data/chars/beyond/3overlord/ab03.gif  #157
	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif
	@cmd	looper 157 10

	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif

	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab03a.gif #166
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/ab01.gif

	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif

	delay	3
	frame	data/chars/beyond/3overlord/idle43.gif #172
	frame	data/chars/beyond/3overlord/idle42.gif
	frame	data/chars/beyond/3overlord/idle41.gif
	frame	data/chars/beyond/3overlord/idle40.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	@cmd	looper 172 20
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle42.gif
	@cmd	hpgain 400
	frame	data/chars/beyond/3overlord/idle41.gif
	frame	data/chars/beyond/3overlord/idle40.gif
	frame	data/chars/beyond/3overlord/idle39.gif #181
	@cmd	beidle
	frame	data/chars/beyond/3overlord/idle39.gif



#------------------------------------------------------------------------
#-------------------//-----------------//--------------------------------
#----------------//--CHANGING-2-TAIL-APPEAR--//--------------------------
#----------------------//--5-stays-3--//---------------------------------
#----------------//-3-is-set-for-next-change-//--------------------------
#------------------------------------------------------------------------


anim	follow16
@script
	void self = getlocalvar("self");
	if(frame==10){
	changeentityproperty(self, "aggression", 70);
	}
@end_script
	loop	0
	delay	12
	offset	100 189
	bbox	0 0 0 0
	landframe 134 dust


	@cmd	target 1 1 1 1 0
	frame	data/chars/beyond/3overlord/chg04.gif #0
	@cmd	dasher -2 0 0
	frame	data/chars/beyond/3overlord/chg03.gif
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/beyond/3overlord/chg02.gif
	@cmd	clearL
	frame	data/chars/beyond/3overlord/chg02.gif
	@cmd	stop
	delay	180
	frame	data/chars/beyond/3overlord/chg02.gif
	delay	7
	frame	data/chars/beyond/3overlord/go01.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go03.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go04.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go06.gif #10
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go08.gif
	@cmd	move2 6830 330
	@cmd	target 1 1 1 1 0
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go06.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go04.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go03.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go01.gif
	delay	15
	frame	data/chars/beyond/3overlord/chg03.gif
	sound	data/sounds/overlord07.wav		#---------------------//---------
	frame	data/chars/beyond/3overlord/chg02.gif
	delay	250
	drawmethod 256 256 0 0 0 1
	frame	data/chars/beyond/3overlord/chg02.gif
	frame	data/chars/beyond/3overlord/chg02.gif #23

#----------------------------------------------------------
#--------------------teleport-end-change-begin-------------
#----------------------------------------------------------

	delay	12
	nodrawmethod
	frame	data/chars/beyond/3overlord/chg02.gif
	@cmd	degravity 1
	frame	data/chars/beyond/3overlord/chg02.gif
	frame	data/chars/beyond/3overlord/chg03.gif
	frame	data/chars/beyond/3overlord/chg04.gif
	frame	data/chars/beyond/3overlord/chg05.gif
	@cmd	spawnGun8 "ovrshoot" -5 1 1 10 "ANI_FOLLOW4"
	frame	data/chars/beyond/3overlord/chg06.gif
	@cmd	dasher 0 0.6 0
	delay	7
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	spawnGun5 "ovrshoot" -5 150 -5 11 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	sound	data/sounds/overlord01.wav		#---------------------//---------
	frame	data/chars/beyond/3overlord/chg07.gif #38
	frame	data/chars/beyond/3overlord/chg08.gif #39
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	looper 39 4
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	stop
	frame	data/chars/beyond/3overlord/chg08.gif #45
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	shooter3 "ldrpwr" -15 -135 7 -1.5 0 0 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 15 -135 7 1.5 0 0 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg07.gif #56
	sound	data/sounds/overlord02.wav		#---------------------//---------
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	shooter3 "ldrpwr" -15 -135 7 -1 0 -0.3 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" -15 -135 7 -1 0 0.3 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 15 -135 7 1 0 -0.3 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 15 -135 7 1 0 0.3 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	shooter3 "ldrpwr" 0 -135 7 0 0 -0.1 "ANI_FOLLOW5"
	@cmd	shooter3 "ldrpwr" 0 -135 7 0 0 0.2 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/chg07.gif #90
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	@cmd	looper 45 6
	frame	data/chars/beyond/3overlord/chg08.gif #95
	frame	data/chars/beyond/3overlord/chg07.gif
	sound	data/sounds/overlord02.wav		#---------------------//---------
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif #98
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	@cmd	looper 98 11
	frame	data/chars/beyond/3overlord/chg07.gif
	sound	data/sounds/overlord03.wav		#---------------------//---------
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
	frame	data/chars/beyond/3overlord/chg08.gif
	frame	data/chars/beyond/3overlord/chg07.gif
