name		Yuri
	@cmd	dasher 0 2 0
	frame	data/chars/0yuri/d31.gif
	delay	6
	attack10 145 120 67 40 0 1 1 0 35 0
	dropv	2 0
	frame	data/chars/0yuri/d25.gif
	frame	data/chars/0yuri/d26.gif
	frame	data/chars/0yuri/d27.gif
	attack10 0 0 0 0
	frame	data/chars/0yuri/d31.gif
	sound	data/sounds/yur02.wav
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	staydown	300 300
	delay	9
	@cmd	dasher 1 2 0
	frame	data/chars/0yuri/d01.gif
	attack	145 120 67 40 200 1 1 0 55 0
	dropv	1 4
	frame	data/chars/0yuri/d02.gif
	frame	data/chars/0yuri/d03.gif
	@cmd	dasher 1 0 0
	delay	14
	frame	data/chars/0yuri/d04.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/d05.gif
	frame	data/chars/0yuri/d06.gif
	frame	data/chars/0yuri/d07.gif
	delay	500
	frame	data/chars/0yuri/d08.gif	#45
	delay	10
	frame	data/chars/0yuri/d18.gif


		
anim	follow5
	loop	0
	delay	10
	offset	145 205
	bbox	108 121 33 80
	jumpframe	1 2 -0.5 0
	frame	data/chars/0yuri/d02.gif
	frame	data/chars/0yuri/d03.gif
	frame	data/chars/0yuri/d04.gif
	delay	11
	frame	data/chars/0yuri/d05.gif
	frame	data/chars/0yuri/d06.gif
	frame	data/chars/0yuri/d07.gif
	frame	data/chars/0yuri/d08.gif
		
anim	follow6
@script
void self = getlocalvar("self");
void plyr = getentityproperty(self, "playerindex");

if(frame >= 3 && frame <= 16 )
{
	if( playerkeys(plyr, 0, "moveup") && playerkeys(plyr, 0, "attack"))
	{
	performattack(self, openborconstant("ANI_JUMPATTACK3"));
	}
	if( playerkeys(plyr, 0, "movedown") && playerkeys(plyr, 0, "attack"))
	{
	performattack(self, openborconstant("ANI_JUMPATTACK2"));
	}
	if( playerkeys(plyr, 0, "attack"))
	{
	performattack(self, openborconstant("ANI_JUMPFORWARD"));
	}
}
@end_script
	loop	0
	delay	10
	offset	145 205
	bbox	0 0 0 0
	jumpframe	0 3 0.5 0
	landframe	18
	frame	data/chars/0yuri/jatk01.gif
	frame	data/chars/0yuri/jatk02.gif
	frame	data/chars/0yuri/jatk03.gif
	delay	12
	frame	data/chars/0yuri/ju02.gif
	frame	data/chars/0yuri/ju03.gif
	frame	data/chars/0yuri/ju03.gif
	frame	data/chars/0yuri/ju03.gif
	frame	data/chars/0yuri/ju09.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	delay	15
	frame	data/chars/0yuri/ju12.gif
		
anim	follow7
	loop	0
	delay	8
	offset	145 205
	bbox	0 0 0 0
	cancel	4 15 1 a freespecial11
	fastattack	1
	jumpframe	0 1 0.5
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/ratk03.gif
	attack2	0 0 0 0
	frame	data/chars/0yuri/ratk04.gif
	@cmd	leaper 0 1.5 0
	frame	data/chars/0yuri/ratk05.gif
	sound	data/sounds/yur02.wav
	attack	124 144 70 45 8 0 1 0 25 0
	frame	data/chars/0yuri/ratk06.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
	frame	data/chars/0yuri/ratk07.gif
		
anim	follow8
	loop	0
	delay	12
	offset	145 205
	bbox	0 0 0 0
	fastattack	1
	@cmd	leaper -2 2.5 0
	frame	data/chars/0yuri/ratk09.gif
	delay	8
	frame	data/chars/0yuri/ratk10.gif
	frame	data/chars/0yuri/ratk11.gif
	frame	data/chars/0yuri/ratk12.gif
	frame	data/chars/0yuri/ratk13.gif
	bbox	130 105 30 75
	frame	data/chars/0yuri/ju04.gif
	frame	data/chars/0yuri/ju09.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
		
anim	freespecial26
	energycost	35
	mponly	1
	loop	0
	delay	8
	offset	145 205
	bbox	130 130 30 70
	staydown	500 500
	forcedirection	-1
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	frame	data/chars/0yuri/ch01.gif
	frame	data/chars/0yuri/ch02.gif
	sound	data/sounds/super1.wav
	@cmd	spawnAni2 "allsp" -15 1 1 3 "ANI_FOLLOW1"
	frame	data/chars/0yuri/ch03.gif
	delay	30
	frame	data/chars/0yuri/ch04.gif
	delay	10
	frame	data/chars/0yuri/bx04.gif
	frame	data/chars/0yuri/bx05.gif
	frame	data/chars/0yuri/bx06.gif
	sound	data/sounds/yurch.wav
	frame	data/chars/0yuri/bx07.gif
	frame	data/chars/0yuri/bx08.gif
	frame	data/chars/0yuri/bx09.gif
	frame	data/chars/0yuri/c00.gif
	frame	data/chars/0yuri/c00a.gif
	frame	data/chars/0yuri/c00b.gif
	frame	data/chars/0yuri/c00c.gif
	delay	30
	frame	data/chars/0yuri/c00d.gif
	delay	10
	bbox	0 0 0 0
	sound	data/sounds/yur01.wav
	frame	data/chars/0yuri/c03.gif
	delay	2
	sound	data/sounds/slowm.wav
	move	7
	frame	data/chars/0yuri/c05.gif
	frame	data/chars/0yuri/c05.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c05.gif
	frame	data/chars/0yuri/c05.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c05.gif
	frame	data/chars/0yuri/c06.gif
	@cmd	keymove 1.5
	attack	145 110 70 35 80 1 0 0 80 15
	dropv	3 4
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c06.gif
	frame	data/chars/0yuri/c06.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c07.gif
	frame	data/chars/0yuri/c07.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c07.gif
	frame	data/chars/0yuri/c08.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c08.gif
	frame	data/chars/0yuri/c08.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c06.gif
	frame	data/chars/0yuri/c06.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c06.gif
	frame	data/chars/0yuri/c07.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c07.gif
	frame	data/chars/0yuri/c07.gif
	move	5
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c08.gif
	frame	data/chars/0yuri/c08.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c08.gif
	frame	data/chars/0yuri/c06.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c06.gif
	frame	data/chars/0yuri/c06.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c07.gif
	move	3
	frame	data/chars/0yuri/c07.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c07.gif
	frame	data/chars/0yuri/c08.gif
	@cmd	keymove 1.5
	frame	data/chars/0yuri/c08.gif
	attack	0 0 0 0
	move	0
	@cmd	stop
	frame	data/chars/0yuri/c08.gif
	delay	8
	frame	data/chars/0yuri/run2.gif
	frame	data/chars/0yuri/spat21.gif
	frame	data/chars/0yuri/spat22.gif



		
anim	freespecial11
	loop	0
	delay	8
	offset	145 205
	bbox	0 0 0 0
	followanim	8
	followcond	1
	fastattack	1
	forcedirection	-1
	staydown	300 300
	hitflash	flashscreen1
	frame	data/chars/0yuri/ratk08.gif
	sound	data/sounds/yur02.wav
	delay	12
	attack	124 144 70 45 15 1 1 0 25 0
	frame	data/chars/0yuri/ratk09.gif
	frame	data/chars/0yuri/ratk09.gif
	frame	data/chars/0yuri/ratk09.gif
	frame	data/chars/0yuri/ratk09.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/ratk08.gif
	frame	data/chars/0yuri/ratk07.gif
		
anim	freespecial2
	energycost	15
	mponly	1
	loop	0
	delay	5
	offset	145 205
	bbox	125 121 33 35
	jumpframe	1 4 1 0
	landframe	11
	hitflash	Flash3
	hitfx	data/sounds/beat4.wav
	sound	data/sounds/yursp2.wav
	frame	data/chars/0yuri/ju12.gif
	frame	data/chars/0yuri/ju02.gif
	frame	data/chars/0yuri/ju04.gif
	frame	data/chars/0yuri/ju05.gif
	frame	data/chars/0yuri/ju06.gif
	frame	data/chars/0yuri/ju16.gif
	frame	data/chars/0yuri/ju07.gif
	frame	data/chars/0yuri/ju02.gif
	delay	11
	@cmd	spawnbind "yupw" 1 1 1
	frame	data/chars/0yuri/spa01.gif
	frame	data/chars/0yuri/spa02.gif
	delay	500
	frame	data/chars/0yuri/spa03.gif
	delay	25
	frame	data/chars/0yuri/dgd01.gif
	delay	10
	frame	data/chars/0yuri/b30.gif
	frame	data/chars/0yuri/ju12.gif
		
anim	freespecial3
	energycost	17
	mponly	1
	loop	0
	delay	6
	offset	145 205
	bbox	108 121 33 80
	custknife	hsken
	throwframe	4 40
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/yursp1.wav
	frame	data/chars/0yuri/a18.gif
	frame	data/chars/0yuri/spat20.gif
	frame	data/chars/0yuri/spat21.gif
	frame	data/chars/0yuri/spat22.gif
	delay	12
	sound	data/sounds/super2.wav
	frame	data/chars/0yuri/spat23.gif
	frame	data/chars/0yuri/spat24.gif
	delay	30
	frame	data/chars/0yuri/spat24.gif
	delay	9
	frame	data/chars/0yuri/spat22.gif
	frame	data/chars/0yuri/spat21.gif
	frame	data/chars/0yuri/spat20.gif
	frame	data/chars/0yuri/a18.gif
		
anim	freespecial4
	energycost	12
	mponly	1
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	jumpframe	4 3.5 1 0
	landframe	11
	hitfx	data/sounds/beat3.wav
	@cmd	dasher 1 0 0
	frame	data/chars/0yuri/a30.gif
	attack2	140 110 53 65 10 0 0 0 10 0
	frame	data/chars/0yuri/upp10.gif
	delay	5
	frame	data/chars/0yuri/upp11.gif
	attack2	0 0 0 0
	frame	data/chars/0yuri/upp11.gif
	@cmd	stop
	delay	9
	staydown	400 400
	hitflash	flashscreen1
	hitfx	data/sounds/beat4.wav
	attack10 145 90 53 80 30 1 0 0 25 0
	dropv	5 2 0
	frame	data/chars/0yuri/upp12.gif
	delay	30
	frame	data/chars/0yuri/upp13.gif
	attack10 0 0 0 0
	delay	9
	frame	data/chars/0yuri/upp14.gif
	frame	data/chars/0yuri/upp15.gif
	frame	data/chars/0yuri/ju09.gif
	frame	data/chars/0yuri/ju10.gif
	delay	500
	frame	data/chars/0yuri/ju11.gif
	delay	12
	frame	data/chars/0yuri/ju12.gif
		
anim	freespecial5
	energycost	17
	mponly	1
	loop	0
	delay	8
	offset	145 205
	bbox	108 121 33 80
	custknife	hsken
	throwframe	4
	sound	data/sounds/yursp1.wav
	frame	data/chars/0yuri/spat01.gif
	frame	data/chars/0yuri/spat02.gif
	frame	data/chars/0yuri/spat03.gif
	frame	data/chars/0yuri/spat04.gif
	sound	data/sounds/super2.wav
	frame	data/chars/0yuri/spat05.gif
	delay	35
	frame	data/chars/0yuri/spat06.gif
	delay	11
	frame	data/chars/0yuri/a08.gif
	frame	data/chars/0yuri/a07.gif
	frame	data/chars/0yuri/a06.gif
		
anim	freespecial6
	energycost	25
	mponly	1
	loop	0
	delay	9
	offset	145 205
	bbox	108 121 33 80
	custknife	hadok2
	throwframe	3
	sound	data/sounds/yursp5.wav
	frame	data/chars/0yuri/spat10.gif
	frame	data/chars/0yuri/spat11.gif
	frame	data/chars/0yuri/spat12.gif
	sound	data/sounds/super3.wav
	frame	data/chars/0yuri/spat13.gif
	delay	35
	frame	data/chars/0yuri/spat14.gif
	delay	9
	frame	data/chars/0yuri/spat15.gif
	frame	data/chars/0yuri/spat16.gif
	frame	data/chars/0yuri/spat10.gif
		
anim	freespecial27
	energycost	75
	mponly	1
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	followanim	3
	followcond	1
	hitfx	data/sounds/beat0.wav
	sound	data/sounds/yurch.wav
	frame	data/chars/0yuri/ch01.gif
	@cmd	spawn04 "allsp" 1 1 1 3
	frame	data/chars/0yuri/ch02.gif
	sound	data/sounds/super1.wav
	frame	data/chars/0yuri/ch03.gif
	delay	40
	frame	data/chars/0yuri/ch04.gif
	delay	2
	sound	data/sounds/slowm.wav
	frame	data/chars/0yuri/run4.gif
	move	4
	@cmd	keymove 1.2
	frame	data/chars/0yuri/run4.gif
	frame	data/chars/0yuri/run4.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/run4.gif
	move	6
	frame	data/chars/0yuri/run5.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/run5.gif
	frame	data/chars/0yuri/run5.gif
	move	7
	@cmd	keymove 1.2
	frame	data/chars/0yuri/run5.gif
	attack	130 121 45 83 0 0 1 1 10 0
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/ratk01.gif
	frame	data/chars/0yuri/ratk01.gif
	attack	0 0 0 0
	@cmd	keymove 1.2
	frame	data/chars/0yuri/b30.gif
	frame	data/chars/0yuri/b30.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/b30.gif
	frame	data/chars/0yuri/b30.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/b30.gif
	frame	data/chars/0yuri/spat21.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/spat21.gif
	frame	data/chars/0yuri/spat21.gif
	@cmd	keymove 1.2
	frame	data/chars/0yuri/spat21.gif
	move	0
	@cmd	stop
	frame	data/chars/0yuri/spat21.gif
	delay	12
	frame	data/chars/0yuri/spat22.gif
	frame	data/chars/0yuri/ju12.gif


		
anim	freespecial9
	loop	0
	delay	7
	offset	145 205
	bbox	0 0 0 0
	followanim	6
	followcond	1
	jumpframe	0 1 2 0
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/ju02.gif
	frame	data/chars/0yuri/ju03.gif
	delay	30
	attack2	135 165 45 40 6 0 0 0 25 0
	frame	data/chars/0yuri/jatk01.gif
	attack2	0 0 0 0
	delay	14
	frame	data/chars/0yuri/ju02.gif
	frame	data/chars/0yuri/ju10.gif
		
anim	get
	loop	0
	delay	8
	offset	145 205
	frame	data/chars/0yuri/get02.gif
	delay	15
	frame	data/chars/0yuri/get03.gif
	delay	8
	frame	data/chars/0yuri/get02.gif
	frame	data/chars/0yuri/win6.gif




anim	follow10
	loop	0
	delay	10
	offset	145 205
	bbox	0 0 0 0
	jumpframe	0 2 1.5
	landframe	4
	forcedirection	-1
	attackone	1
	otg	2
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat5.wav
	hitflash	flashscreen1
	frame	data/chars/0yuri/d01.gif
	frame	data/chars/0yuri/d02.gif
	frame	data/chars/0yuri/grd09.gif
	delay	500
	frame	data/chars/0yuri/grd10.gif
	delay	9
	attack11 125 185 65 25 50 1 0 0 8 10
	dropv	2 3
	frame	data/chars/0yuri/grd11.gif #4
	frame	data/chars/0yuri/grd12.gif
	frame	data/chars/0yuri/grd13.gif
	attack11 0 0 0 0
	frame	data/chars/0yuri/grd14.gif
	delay	35
	frame	data/chars/0yuri/grd15.gif
	delay	9
	@cmd	flip
	frame	data/chars/0yuri/rise1.gif
	frame	data/chars/0yuri/rise3.gif
	frame	data/chars/0yuri/rise6.gif
	frame	data/chars/0yuri/rise9.gif
	frame	data/chars/0yuri/rise10.gif






anim	grab
	loop	0
	delay	100
	offset	145 205
	bbox	108 121 33 80
	frame	data/chars/0yuri/grab.gif
		
anim	grabattack
	loop	0
	delay	5
	offset	145 205
	bbox	108 121 33 80
	attack	0 0 0 0
	hitfx	data/sounds/beat2.wav
	frame	data/chars/0yuri/grab.gif
	delay	23
	attack6	156 131 24 31 15 0 1 0 16
	frame	data/chars/0yuri/d75.gif
		
anim	grabattack2
	loop	0
	delay	8
	offset	145 205
	bbox	130 121 33 80
	hitfx	data/sounds/beat5.wav
	staydown	350 350
	@cmd	keyint "ANI_GRABDOWN2" 0 "J" 0 0
	frame	data/chars/0yuri/b02.gif
	frame	data/chars/0yuri/b03.gif
	offset	130 208
	bbox	115 121 33 80
	attack	130 100 70 60 30 1 0 0 18 0
	dropv	3 3
	frame	data/chars/0yuri/b70.gif
	delay	12
	frame	data/chars/0yuri/b71.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/b72.gif
	frame	data/chars/0yuri/b73.gif
	offset	145 205
	bbox	130 121 33 80
	frame	data/chars/0yuri/b02.gif
		
anim	grabbackward
	loop	0
	delay	20
	attackone	0
	offset	145 205
	bbox	0 0 0 0
	jumpframe	2 2 -2.5 0
	sound	data/sounds/yur02.wav
	@cmd	slamstart
	@cmd	position 10 40 50 -1 -1
	frame	data/chars/0yuri/th01.gif
	delay	12
	@cmd	position 11 30 50 -1 -1
	frame	data/chars/0yuri/th02.gif
	@cmd	position 5 50 50 -1 -1
	frame	data/chars/0yuri/th03.gif
	@cmd	position 8 30 60 -1 -1
	frame	data/chars/0yuri/th04.gif
	@cmd	position 8 20 55 -1 -1
	frame	data/chars/0yuri/th05.gif
	@cmd	position 7 10 70 -1 -1
	frame	data/chars/0yuri/th06.gif
	delay	1
	@cmd	position 7 0 70 1 -1
	frame	data/chars/0yuri/th06.gif
	delay	15
	@cmd	depost 0
	@cmd	throw 65 1 4 1.7 0 1
	delay	2
	move	-5
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th07.gif
	move	0
	delay	6
	frame	data/chars/0yuri/th07.gif
	frame	data/chars/0yuri/th08.gif
	@cmd	leaper 0 2.8 0
	frame	data/chars/0yuri/th09.gif
	frame	data/chars/0yuri/th10.gif
	frame	data/chars/0yuri/th11.gif
	frame	data/chars/0yuri/th12.gif
	frame	data/chars/0yuri/th13.gif
	frame	data/chars/0yuri/th14.gif
	frame	data/chars/0yuri/th15.gif
	frame	data/chars/0yuri/th16.gif
	frame	data/chars/0yuri/th17.gif
	delay	20
	sound	data/sounds/yur01.wav
	frame	data/chars/0yuri/th18.gif
	delay	10
	frame	data/chars/0yuri/th17.gif
	delay	5
	@cmd	flip
	frame	data/chars/0yuri/ju12.gif
	frame	data/chars/0yuri/idle01.gif
		
anim	grabbed
	loop	0
	delay	100
	offset	145 205
	bbox	108 121 33 80
	frame	data/chars/0yuri/pain3.gif
		
anim	grabdown2
	delay	3
	attackone	0
	offset	145 205
	jumpframe	4 4
	landframe	9 qfx
	quakeframe	9 1 7
	frame	data/chars/0yuri/grabat03.gif
	@cmd	grabcheck
	@cmd	anti
	frame	data/chars/0yuri/grabat03.gif
	delay	6
	sound	data/sounds/grab.wav
	@cmd	slamstart
	@cmd	position 10 40 50 -1 -1
	frame	data/chars/0yuri/grabat18.gif
	@cmd	keywlk 1.5
	@cmd	position 10 40 50 -1 -1
	frame	data/chars/0yuri/grabat18.gif
	delay	12
	@cmd	keywlk 1.5
	@cmd	position 11 35 60 -1 -1
	frame	data/chars/0yuri/grabat19.gif
	@cmd	keywlk 1.5
	@cmd	position 1 20 85 -1 1
	frame	data/chars/0yuri/grabat20.gif
	sound	data/sounds/yur01.wav
	@cmd	keywlk 1.5
	@cmd	position 2 -10 80 -1 1
	frame	data/chars/0yuri/grabat21.gif
	@cmd	keywlk 1.5
	@cmd	position 3 -10 50 -1 1
	frame	data/chars/0yuri/grabat22.gif
	@cmd	keywlk 1.5
	attack	95 110 70 85 8 1 1 0 0 0
	delay	550
	@cmd	keywlk 1.5
	@cmd	position 12 -20 40 -1 1
	frame	data/chars/0yuri/grabat23.gif
	delay	12
	@cmd	position 3 -20 30 -1 1
	frame	data/chars/0yuri/grabat24.gif #9
	@cmd	spawn02 "flashsc1" -100 500 300
	@cmd	position 12 -20 40 -1 1
	frame	data/chars/0yuri/grabat23.gif
	delay	1
	@cmd	position 12 0 40 1 1
	frame	data/chars/0yuri/grabat23.gif
	attack	0 0 0 0
	@cmd	depost 0
	@cmd	finish 70 1 -1 3 0 0
	delay	10
	frame	data/chars/0yuri/grabat23.gif
	frame	data/chars/0yuri/rise2.gif
	frame	data/chars/0yuri/rise3.gif
	frame	data/chars/0yuri/rise4.gif
	@cmd	leaper 0 2.5 0
	frame	data/chars/0yuri/rise5.gif
	@cmd	keywlk 1.8
	delay	7
	frame	data/chars/0yuri/rise6.gif
	@cmd	keywlk 1.8
	frame	data/chars/0yuri/rise7.gif
	@cmd	keywlk 1.8
	frame	data/chars/0yuri/rise9.gif
	@cmd	keywlk 1.8
	frame	data/chars/0yuri/rise10.gif
		
anim	grabforward
	loop	0
	delay	7
	offset	145 205
	bbox	108 121 33 80
	fastattack	1
	attack	0 0 0 0
	hitfx	data/sounds/beat2.wav
	frame	data/chars/0yuri/grabat01.gif
	frame	data/chars/0yuri/grabat02.gif
	attack5	143 105 35 35 5 0 1 0 16 0
	frame	data/chars/0yuri/grabat03.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/grabat04.gif
	attack5	143 105 35 35 5 0 1 0 16 0
	frame	data/chars/0yuri/grabat03.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/grabat02.gif
	attack5	143 105 35 35 5 0 1 0 16 0
	frame	data/chars/0yuri/grabat03.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/grabat04.gif
	attack5	143 105 35 35 5 0 1 0 16 0
	frame	data/chars/0yuri/grabat03.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/grabat02.gif
		
anim	grabforward2
	loop	0
	delay	12
	offset	145 205
	bbox	108 121 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	staydown	350 350
	frame	data/chars/0yuri/grabat05.gif
	blast	142 102 50 55 30 0 0 25 0
	dropv	4 2 0
	frame	data/chars/0yuri/grabat06.gif
	blast	0 0 0 0
	frame	data/chars/0yuri/grabat07.gif
	delay	20
	frame	data/chars/0yuri/grabat08.gif
	delay	10
	frame	data/chars/0yuri/grabat05.gif
		
anim	grabup
	loop	0
	delay	9
	offset	145 205
	bbox	108 121 33 80
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/d08.gif
	frame	data/chars/0yuri/d05.gif
	frame	data/chars/0yuri/d04.gif
	delay	8
	frame	data/chars/0yuri/d24.gif
	frame	data/chars/0yuri/d31.gif
	delay	5
	attack10 140 85 35 75 35 1 1 0 20 0
	dropv	6.5 0.5
	frame	data/chars/0yuri/d25.gif
	frame	data/chars/0yuri/d26.gif
	frame	data/chars/0yuri/d27.gif
	frame	data/chars/0yuri/d28.gif
	frame	data/chars/0yuri/d29.gif
	frame	data/chars/0yuri/d30.gif
	frame	data/chars/0yuri/d27.gif
	frame	data/chars/0yuri/d28.gif
	attack10 0 0 0 0
	frame	data/chars/0yuri/d28.gif
	frame	data/chars/0yuri/d31.gif
	frame	data/chars/0yuri/b17.gif
	frame	data/chars/0yuri/a17.gif
	frame	data/chars/0yuri/a18.gif
		
anim	idle
	loop	1
	delay	10
	offset	145 205
	bbox	128 121 33 80
	@cmd	clearL
	frame	data/chars/0yuri/idle01.gif
	delay	8
	frame	data/chars/0yuri/idle02.gif
	frame	data/chars/0yuri/idle03.gif
	frame	data/chars/0yuri/idle04.gif
	delay	6
	frame	data/chars/0yuri/idle05.gif
	frame	data/chars/0yuri/idle06.gif
	frame	data/chars/0yuri/idle07.gif
	delay	9
	frame	data/chars/0yuri/idle08.gif

		
anim	jump
	loop	0
	delay	12
	offset	145 205
	bbox	125 105 33 35
	frame	data/chars/0yuri/ju01.gif
	delay	5
	frame	data/chars/0yuri/ju02.gif
	frame	data/chars/0yuri/ju03.gif
	frame	data/chars/0yuri/ju04.gif
	frame	data/chars/0yuri/ju05.gif
	frame	data/chars/0yuri/ju06.gif
	frame	data/chars/0yuri/ju07.gif
	frame	data/chars/0yuri/ju09.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	delay	10
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
	@cmd	looper 11 25
	frame	data/chars/0yuri/ju10.gif
	frame	data/chars/0yuri/ju11.gif
		
anim	jumpattack
	loop	0
	delay	2
	offset	145 205
	bbox	125 105 33 35
	staydown	500 500
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/yur01.wav
	frame	data/chars/0yuri/ja05.gif
	move	1
	frame	data/chars/0yuri/ja05.gif
	frame	data/chars/0yuri/ja05.gif
	frame	data/chars/0yuri/ja05.gif
	frame	data/chars/0yuri/ja06.gif
	frame	data/chars/0yuri/ja06.gif
	frame	data/chars/0yuri/ja06.gif
	frame	data/chars/0yuri/ja06.gif
	attack	131 140 62 44 25 1 0 0 30 0
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	frame	data/chars/0yuri/ja07.gif
	delay	8
	move	0
	attack	0 0 0 0
	frame	data/chars/0yuri/ja06.gif
	frame	data/chars/0yuri/ju03.gif
		
anim	jumpattack2
	loop	0
	delay	7
	offset	145 205
	bbox	125 105 33 35
	sound	data/sounds/punch.wav
	frame	data/chars/0yuri/ja10.gif
	frame	data/chars/0yuri/ja11.gif
	attack2	119 130 75 44 12 0 0 0 15 0
	frame	data/chars/0yuri/ja12.gif
		
anim	jumpattack3
	loop	0
	delay	7
	offset	145 205
	bbox	125 105 33 35
	followanim	6
	followcond	1
	jumpframe	0 1 2 0
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/ju02.gif
	frame	data/chars/0yuri/ju03.gif
	delay	30
	attack2	135 165 45 40 15 0 0 0 25 0
	frame	data/chars/0yuri/jatk01.gif
