name		leonaplr
	attack10	145 135 80 80 9 1 1 0 8 15
	dropv	2 3 0
	frame	data/chars/xleona/jua34.png
	attack	0 0 0 0
	frame	data/chars/xleona/jua35.png
	attack10	145 135 80 80 9 1 1 0 8 15
	dropv	2 3 0
	frame	data/chars/xleona/jua36.png
	attack	0 0 0 0
	frame	data/chars/xleona/jua37.png
	attack10	145 135 80 80 9 1 1 0 8 15
	dropv	2 3 0
	frame	data/chars/xleona/jua38.png
	attack	0 0 0 0
	frame	data/chars/xleona/jua39.png
	delay	500
	frame	data/chars/xleona/jump27.png
	delay	8
	bbox	130 130 30 40
	frame	data/chars/xleona/get03.png
		
anim	freespecial9
	energycost	12
	mponly	1
	loop	0
	delay	8
	offset	145 213
	bbox	0 0 0 0
	hitflash	flashscreen1
	hitfx	data/sounds/sl2.wav
	fastattack	1
	forcedirection	-1
	jumpframe	4 4.5 1
	landframe	10
	staydown	400 400
	@cmd	dasher 1.5 0 0
	frame	data/chars/xleona/pw01.png
	frame	data/chars/xleona/pw02.png
	delay	4
	sound	data/sounds/xleona02.wav
	frame	data/chars/xleona/pw03.png
	frame	data/chars/xleona/pw04.png
	delay	8
	attack	110 75 110 100 45 1 1 0 13 15
	dropv	5 2 0
	frame	data/chars/xleona/pw05.png
	frame	data/chars/xleona/pw06.png
	frame	data/chars/xleona/pw07.png
	frame	data/chars/xleona/pw08.png
	attack	0 0 0 0
	frame	data/chars/xleona/pw09.png
	delay	500
	frame	data/chars/xleona/pw10.png
	delay	9
	frame	data/chars/xleona/get03.png
		
anim	get
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/get01.png
	delay	20
	frame	data/chars/xleona/get02.png
	delay	9
	frame	data/chars/xleona/get03.png
		
anim	grab
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/grab00.png
	frame	data/chars/xleona/grab00.png
		
anim	grabattack
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	attack	0 0 0 0
	fastattack	1
	frame	data/chars/xleona/grab00.png
	frame	data/chars/xleona/b51.png
	attack2	160 135 35 30 9 0 1 0 10 0
	frame	data/chars/xleona/b52.png
	attack2	0 0 0 0
	delay	9
	frame	data/chars/xleona/b53.png
	delay	6
	frame	data/chars/xleona/b54.png
	attack2	160 135 35 30 15 0 1 0 10 0
	frame	data/chars/xleona/b55.png
	attack2	0 0 0 0
	delay	9
	frame	data/chars/xleona/b56.png
	delay	6
	frame	data/chars/xleona/b54.png
		
anim	grabattack2
	loop	0
	delay	7
	attackone	0
	offset	145 211
	bbox	0 0 0 0
	staydown	500 500
	fastattack	1
	jumpframe	0 3 0.3
	landframe	5
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xleona03.wav
	movez	1
	frame	data/chars/xleona/jua14.png
	movez	0
	frame	data/chars/xleona/jua15.png
	frame	data/chars/xleona/jua16.png
	attack	135 135 50 55 30 1 0 0 25 15
	dropv	-2 1
	frame	data/chars/xleona/jua17.png
	delay	500
	frame	data/chars/xleona/jua18.png
	attack	0 0 0 0
	delay	8
	frame	data/chars/xleona/grd00.png
	frame	data/chars/xleona/get03.png
		
anim	grabbackward
	attackone	0
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xleona01.wav
	frame	data/chars/xleona/grab40.png
	frame	data/chars/xleona/grab41.png
	delay	12
	sound	data/sounds/grab.wav
	@cmd	slamstart
	@cmd	position 11 35 49 -1 -1
	frame	data/chars/xleona/grab42.png
	delay	8
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab43.png
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab44.png
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab45.png
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab46.png
	delay	20
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab47.png
	delay	8
	@cmd	position 11 35 49 -1 -1
	frame	data/chars/xleona/grab48.png
	@cmd	position 11 40 49 -1 -1
	frame	data/chars/xleona/grab49.png
	@cmd	position 11 41 49 -1 -1
	frame	data/chars/xleona/grab50.png
	@cmd	position 0 15 40 1 -1
	frame	data/chars/xleona/grab51.png
	@cmd	position 0 5 35 1 -1
	frame	data/chars/xleona/grab52.png
	@cmd	depost 0
	@cmd	finish 70 1 4.5 1.5 0 0
	delay	5
	frame	data/chars/xleona/grab53.png
	frame	data/chars/xleona/grab54.png
	@cmd	clearL
	frame	data/chars/xleona/grab55.png
	frame	data/chars/xleona/grab56.png
	frame	data/chars/xleona/grab57.png
	frame	data/chars/xleona/grab58.png
	frame	data/chars/xleona/grab59.png
	frame	data/chars/xleona/grab60.png
	frame	data/chars/xleona/grab61.png
	delay	2
	@cmd	flip
	frame	data/chars/xleona/idle01.png
		
anim	grabbed
	loop	0
	delay	10
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/pain3.png
		
anim	grabdown
	loop	0
	delay	9
	attackone	0
	offset	145 211
	bbox	0 0 0 0
	hitflash	Flash4
	hitfx	data/sounds/sl2.wav
	frame	data/chars/xleona/dgd00.png
	delay	20
	frame	data/chars/xleona/runatk20.png
	delay	3
	sound	data/sounds/xleona03.wav
	frame	data/chars/xleona/runatk21.png
	frame	data/chars/xleona/runatk22.png
	blast	135 120 102 70 35 1 0 0 25 15
	dropv	2 3.5
	frame	data/chars/xleona/runatk23.png
	frame	data/chars/xleona/runatk24.png
	frame	data/chars/xleona/runatk25.png
	frame	data/chars/xleona/runatk26.png
	frame	data/chars/xleona/runatk27.png
	blast	0 0 0 0
	frame	data/chars/xleona/runatk28.png
	delay	30
	frame	data/chars/xleona/runatk29.png
	delay	9
	frame	data/chars/xleona/get03.png
		
anim	grabforward
	loop	0
	delay	12
	offset	145 211
	bbox	0 0 0 0
	attack	0 0 0 0
	sound	data/sounds/grab.wav
	@cmd	slamstart
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab00.png
	delay	12
	@cmd	spawn01 "Flash4" 30 50 2
	sound	data/sounds/sl1.wav
	@cmd	position 11 35 49 -1 -1
	frame	data/chars/xleona/grab20.png
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab21.png
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab22.png
	sound	data/sounds/sl2.wav
	@cmd	spawn01 "Flash4" 30 50 2
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab23.png
	delay	25
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab24.png
	delay	10
	sound	data/sounds/sl2.wav
	@cmd	spawn01 "Flash4" 30 50 2
	@cmd	position 11 35 49 -1 -1
	frame	data/chars/xleona/grab25.png
	@cmd	spawnAni "xleonapw" 40 35 2 "ANI_follow4"
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab26.png
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab27.png
	@cmd	position 11 35 49 -1 -1
	frame	data/chars/xleona/grab28.png
	delay	30
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xleona/grab29.png
	delay	10
	@cmd	spawnAni "xleonapw" 50 60 2 "ANI_follow5"
	@cmd	spawn01 "Flash2" 30 50 2
	sound	data/sounds/sl1.wav
	move	-8
	@cmd	position 11 43 49 -1 -1
	frame	data/chars/xleona/grab30.png
	@cmd	position 11 51 49 -1 -1
	frame	data/chars/xleona/grab31.png
	@cmd	position 11 59 49 -1 -1
	frame	data/chars/xleona/grab32.png
	@cmd	position 11 67 49 -1 -1
	frame	data/chars/xleona/grab33.png
	move	0
	delay	50
	@cmd	position 11 67 49 -1 -1
	frame	data/chars/xleona/grab34.png
	delay	30
	@cmd	depost 0
	@cmd	finish 75 1 0 2 0 0
	frame	data/chars/xleona/grab34.png
	delay	9
	frame	data/chars/xleona/grab33.png
	@cmd	clearL
	frame	data/chars/xleona/a34.png
		
anim	idle
	loop	1 5 13
	delay	9
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/idle01.png
	@cmd	clearL
	frame	data/chars/xleona/idle02.png
	frame	data/chars/xleona/idle03.png
	frame	data/chars/xleona/idle04.png
	frame	data/chars/xleona/idle05.png
	delay	14
	frame	data/chars/xleona/idle10.png #5
	frame	data/chars/xleona/idle11.png
	frame	data/chars/xleona/idle12.png
	frame	data/chars/xleona/idle13.png
	frame	data/chars/xleona/idle14.png
	frame	data/chars/xleona/idle15.png
	frame	data/chars/xleona/idle16.png
	frame	data/chars/xleona/idle17.png #12
		
anim	jump
	loop	0
	delay	5
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xleona/jump01.png
	frame	data/chars/xleona/jump02.png
	frame	data/chars/xleona/jump03.png
	frame	data/chars/xleona/jump04.png
	frame	data/chars/xleona/jump05.png
	frame	data/chars/xleona/jump06.png
	frame	data/chars/xleona/jump07.png
	frame	data/chars/xleona/jump08.png
	frame	data/chars/xleona/jump09.png
	frame	data/chars/xleona/jump10.png
	frame	data/chars/xleona/jump11.png
	frame	data/chars/xleona/jump12.png
	frame	data/chars/xleona/jump13.png
		
anim	jumpattack
	loop	0
	delay	9
	offset	145 211
	bbox	130 95 30 50
	forcedirection	-1
	staydown	300 300
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xleona03.wav
	frame	data/chars/xleona/jua10.png
	attack	135 120 90 70 30 1 0 0 20 0
	frame	data/chars/xleona/jua11.png
		
anim	jumpattack2
	loop	0
	delay	8
	offset	145 211
	bbox	130 95 30 50
	frame	data/chars/xleona/jump09.png
	frame	data/chars/xleona/jump08.png
	frame	data/chars/xleona/jua01.png
	attack2	143 130 55 50 12 0 0 0 15 0
	frame	data/chars/xleona/jua02.png
		
anim	jumpattack3
	fastattack	1
	forcedirection	-1
	loop	0
	delay	5
	offset	145 211
	bbox	135 110 30 40
	jumpframe	0 -2 4
	landframe	4 dust
	attack	0 0 0 0 0 0 0 0 0 0
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xleona/jua20a.png
	frame	data/chars/xleona/jua20b.png
	attack10	125 115 90 70 15 1 0 0 10 15
	dropv	3 3
	frame	data/chars/xleona/jua22.png
	delay	500
	frame	data/chars/xleona/jua21.png
	delay	2
	move	6
	attack10	0 0 0 0 0 0 0 0 0 0
	hitflash	Flash4
	hitfx	data/sounds/sl2.wav
	sound	data/sounds/blade.wav
	offset	145 190
	frame	data/chars/xleona/jua21.png
	offset	145 211
	bbox	130 150 30 50
	attack	115 130 100 75 30 1 0 0 8 15
	dropv	3 0
	frame	data/chars/xleona/jua22a.png
	frame	data/chars/xleona/jua22b.png
	frame	data/chars/xleona/jua22b.png
	frame	data/chars/xleona/jua22c.png
	frame	data/chars/xleona/jua22c.png
	frame	data/chars/xleona/jua22d.png
	frame	data/chars/xleona/jua22d.png
	frame	data/chars/xleona/jua22e.png
	frame	data/chars/xleona/jua22e.png
	frame	data/chars/xleona/jua22f.png
	frame	data/chars/xleona/jua22f.png
	frame	data/chars/xleona/jua22g.png
	frame	data/chars/xleona/jua22g.png
	frame	data/chars/xleona/jua22h.png
	move	5
	frame	data/chars/xleona/jua22h.png
	frame	data/chars/xleona/jua22i.png
	frame	data/chars/xleona/jua22i.png
	frame	data/chars/xleona/jua22j.png
	move	3
	frame	data/chars/xleona/jua22j.png
	frame	data/chars/xleona/jua22k.png
	frame	data/chars/xleona/jua22k.png
	frame	data/chars/xleona/jua22l.png
	attack	0 0 0 0
	move	0
	delay	25
	frame	data/chars/xleona/jua22l.png
	delay	8
	frame	data/chars/xleona/b80a.png
	frame	data/chars/xleona/b80.png
		
anim	jumpdelay
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/jump00.png
		
anim	jumpforward
	loop	0
	delay	9
	offset	145 211
	bbox	130 95 30 50
	hitfx	data/sounds/beat5.wav
	forcedirection	-1
	staydown	300 300
	sound	data/sounds/xleona02.wav
	frame	data/chars/xleona/jua05.png
	delay	6
	attack	130 132 90 50 30 1 0 0 20 0
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
	frame	data/chars/xleona/jua06.png
	frame	data/chars/xleona/jua07.png
		
anim	jumpland
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/jump00.png
		
anim	pain
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/pain1.png
	offset	140 211
	frame	data/chars/xleona/pain2.png
	offset	146 211
	frame	data/chars/xleona/pain2.png
	offset	145 211
	frame	data/chars/xleona/pain2.png
		
anim	pain2
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/pain3.png
	offset	140 211
	frame	data/chars/xleona/pain4.png
	offset	146 211
	frame	data/chars/xleona/pain4.png
	offset	145 211
	frame	data/chars/xleona/pain4.png
		
anim	pain3
	loop	0
	delay	2
	offset	145 211
	bbox	130 125 30 75
	move	-6
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain2.png
	frame	data/chars/xleona/pain2.png
	frame	data/chars/xleona/pain2.png
	move	-4
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain3.png
	frame	data/chars/xleona/pain3.png
	move	-2
	frame	data/chars/xleona/pain3.png
	frame	data/chars/xleona/pain4.png
	frame	data/chars/xleona/pain4.png
	delay	50
	frame	data/chars/xleona/pain4.png
		
anim	pain5
	loop	0
	delay	12
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/pain1.png
	frame	data/chars/xleona/pain2.png
	frame	data/chars/xleona/pain3.png
	frame	data/chars/xleona/pain4.png
	frame	data/chars/xleona/grd00.png
	delay	40
	frame	data/chars/xleona/grd00b.png
	delay	12
	frame	data/chars/xleona/grd00.png
	frame	data/chars/xleona/pain4.png
		
anim	respawn
	loop	0
	delay	10
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/spw01.png
	sound	data/sounds/xleonaTlk.wav
	delay	30
	frame	data/chars/xleona/spw01.png
	delay	9
	frame	data/chars/xleona/spw02.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw04.png
	delay	30
	frame	data/chars/xleona/spw05.png
		
anim	rise
	loop	0
	delay	25
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/fall4.png
	delay	6
	frame	data/chars/xleona/rise01.png
	frame	data/chars/xleona/rise04.png
	frame	data/chars/xleona/rise05.png
	frame	data/chars/xleona/rise06.png
	frame	data/chars/xleona/rise07.png
	frame	data/chars/xleona/rise08.png
	frame	data/chars/xleona/rise09.png
	frame	data/chars/xleona/jump00.png
		
anim	run
	loop	1
	delay	7
	offset	145 211
	bbox	130 165 30 45
	frame	data/chars/xleona/run10.png
	sound	data/sounds/run.wav
	@cmd	spawn01 "dust" 30 1 1
	frame	data/chars/xleona/run11.png
	frame	data/chars/xleona/run13.png
	frame	data/chars/xleona/run14.png
		
anim	runattack
	loop	0
	delay	8
	offset	145 211
	bbox	130 165 30 45
	fastattack	1
	forcedirection	-1
	hitflash	Flash4
	hitfx	data/sounds/sl2.wav
	@cmd	dasher 3 0 0
	frame	data/chars/xleona/runatk02.png
	frame	data/chars/xleona/runatk03.png
	sound	data/sounds/blade.wav
	delay	4
	attack	120 120 105 75 35 1 0 0 12 15
	dropv	3 3
	frame	data/chars/xleona/runatk04.png
	frame	data/chars/xleona/runatk05.png
	frame	data/chars/xleona/runatk06.png
	frame	data/chars/xleona/runatk07.png
	frame	data/chars/xleona/runatk08.png
	frame	data/chars/xleona/runatk09.png
	delay	8
	@cmd	dasher 2 0 0
	frame	data/chars/xleona/runatk09.png
	frame	data/chars/xleona/runatk10.png
	@cmd	dasher 1 0 0
	frame	data/chars/xleona/runatk11.png
	attack	0 0 0 0
	delay	9
	@cmd	stop
	frame	data/chars/xleona/runatk11.png
	frame	data/chars/xleona/jump00.png
		
anim	runjump
	loop	0
	delay	5
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xleona/jump01.png
	frame	data/chars/xleona/jump01a.png
	frame	data/chars/xleona/jump01b.png
	frame	data/chars/xleona/jump01c.png
	frame	data/chars/xleona/jump01d.png
	frame	data/chars/xleona/jump01e.png
	frame	data/chars/xleona/jump27.png
		
anim	runjumpattack
	loop	0
	delay	9
	offset	145 203
	bbox	119 95 30 50
	landframe	3
	fastattack	1
	forcedirection	-1
	staydown	300 300
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xleona03.wav
	frame	data/chars/xleona/jua05.png
	frame	data/chars/xleona/jua24.png
	attack8	130 122 92 50 10 0 0 0 12 0
	frame	data/chars/xleona/jua25.png
	delay	5
	frame	data/chars/xleona/jua26.png
	attack8	0 0 0 0
	frame	data/chars/xleona/jua26.png
	attack	130 122 77 50 25 1 0 0 20 0
	dropv	3 4
	frame	data/chars/xleona/jua26.png
		
anim	runslide
	loop	0
	delay	7
	offset	145 211
	bbox	130 175 30 25
	forcedirection	-1
	staydown	300 300
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xleona03.wav
	@cmd	dasher 3.5 0 0
	frame	data/chars/xleona/b80a.png
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/xleona/b81.png
	attack	120 165 95 45 30 1 0 0 25 15
	dropv	2 4
	frame	data/chars/xleona/b82.png
	delay	30
	frame	data/chars/xleona/b83.png
	delay	10
	@cmd	dasher 2 0 0
	frame	data/chars/xleona/b83.png
	attack	0 0 0 0
	delay	8
	@cmd	stop
	frame	data/chars/xleona/b81.png
	frame	data/chars/xleona/b80.png
		
anim	select
	fshadow	0
	loop	0
	delay	5
	offset	0 0
	sound	data/sounds/blink.wav
	frame	data/chars/xleona/xwait2.png
	sound	data/sounds/xleonaTlk.wav
	frame	data/chars/xleona/xwait3.png
	frame	data/chars/xleona/xwait2.png #2
	frame	data/chars/xleona/xwait3.png
	@cmd	looper 2 10
	delay	100
	frame	data/chars/xleona/xwait2.png
		
anim	spawn
	loop	0
	delay	10
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/spw01.png
	sound	data/sounds/xleonaTlk.wav
	delay	30
	frame	data/chars/xleona/spw01.png
	delay	9
	frame	data/chars/xleona/spw02.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw04.png
	delay	30
	frame	data/chars/xleona/spw05.png
		
anim	special
	energycost	30
	mponly	1
	loop	0
	delay	8
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/spc01.png
	sound	data/sounds/xleonaCharge.wav
	frame	data/chars/xleona/spc02.png
	@cmd	spawnAni "xleonapw" 15 70 2 "ANI_follow6"
	delay	2
	@cmd	flip
	@cmd	spawnAni "xleonapw" -10 70 2 "ANI_follow6"
	frame	data/chars/xleona/emp.png
	delay	8
	@cmd	flip
	frame	data/chars/xleona/spc03.png
	delay	2
	frame	data/chars/xleona/emp.png
	delay	8
	frame	data/chars/xleona/spc04.png
	delay	2
	frame	data/chars/xleona/emp.png
	delay	8
	frame	data/chars/xleona/spc05.png
	frame	data/chars/xleona/spc06.png
	frame	data/chars/xleona/spc07.png
	frame	data/chars/xleona/spc08.png
	frame	data/chars/xleona/spc09.png
	frame	data/chars/xleona/spc10.png
	frame	data/chars/xleona/spc11.png
	frame	data/chars/xleona/spc12.png
	delay	2
	seta	5
	frame	data/chars/xleona/spc13.png
	seta	15
	frame	data/chars/xleona/spc13.png
	seta	20
	frame	data/chars/xleona/spc13.png
	seta	25
	frame	data/chars/xleona/spc13.png
	seta	30
	sound	data/sounds/super2.wav
	frame	data/chars/xleona/spc13.png
	seta	35
	frame	data/chars/xleona/spc13.png
	seta	40
	frame	data/chars/xleona/spc13.png
	seta	45
	frame	data/chars/xleona/spc13.png
	seta	50
	frame	data/chars/xleona/spc13.png
	delay	8
	frame	data/chars/xleona/spc14.png
	frame	data/chars/xleona/spc15.png
	frame	data/chars/xleona/spc16.png
	frame	data/chars/xleona/spc17.png
	delay	40
	seta	0
	frame	data/chars/xleona/spc18.png
	delay	11
	frame	data/chars/xleona/spc19.png #19
	frame	data/chars/xleona/spc20.png
	frame	data/chars/xleona/get02.png
	frame	data/chars/xleona/get03.png
		
anim	waiting
	fshadow	0
	loop	1
	delay	50
	offset	0 0
	frame	data/chars/xleona/xwait0.png
	frame	data/chars/xleona/xwait1.png
		
anim	walk
	loop	1
	delay	9
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/walk01.png
	frame	data/chars/xleona/walk02.png
	frame	data/chars/xleona/walk03.png
	frame	data/chars/xleona/walk04.png
	frame	data/chars/xleona/walk05.png
	frame	data/chars/xleona/walk06.png
	frame	data/chars/xleona/walk07.png
	frame	data/chars/xleona/walk08.png
	frame	data/chars/xleona/walk09.png
	frame	data/chars/xleona/walk10.png
		
anim	walkoff
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xleona/jump28.png
		
#|edited by openBor Stats v 0.67
		
