name		daimonplr
	movez	1
	frame	data/chars/xdaimon/grab00.png
	movez	0
	delay	12
	frame	data/chars/xdaimon/grab80.png
	delay	30
	attack	139 135 53 45 30 1 0 0 35 10
	dropv	4 2
	frame	data/chars/xdaimon/grab81.png
	attack	0 0 0 0
	delay	12
	frame	data/chars/xdaimon/run00.png
	frame	data/chars/xdaimon/a43.png
		
anim	grabattack2
	loop	0
	delay	20
	attackone	0
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/grab.wav
	@cmd	slamstart2
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xdaimon/grab00.png
	delay	8
	@cmd	position 11 30 60 -1 -1
	frame	data/chars/xdaimon/grab50.png
	@cmd	position 13 35 65 -1 1
	frame	data/chars/xdaimon/grab51.png
	delay	17
	@cmd	position 13 35 70 -1 1
	frame	data/chars/xdaimon/grab52.png
	delay	8
	sound	data/sounds/xdaim04.wav
	@cmd	position 13 29 73 -1 1
	frame	data/chars/xdaimon/grab53.png
	delay	4
	@cmd	position 5 45 80 -1 -1
	frame	data/chars/xdaimon/grab54.png
	@cmd	position 6 40 60 -1 -1
	frame	data/chars/xdaimon/grab54.png
	@cmd	position 3 40 75 -1 -1
	frame	data/chars/xdaimon/grab55.png
	@cmd	position 3 40 75 -1 -1
	frame	data/chars/xdaimon/grab55.png
	delay	2
	
	@cmd	position 14 65 70 -1 1
	frame	data/chars/xdaimon/grab56.png
	attack	150 130 80 75 15 1 0 0 5 20
	dropv	3 0.5
	
	@cmd	position 14 65 70 -1 1
	frame	data/chars/xdaimon/grab56.png
	
	@cmd	position 14 65 70 -1 1
	frame	data/chars/xdaimon/grab56.png
	
	@cmd	position 14 65 70 -1 1
	frame	data/chars/xdaimon/grab56.png
	
	@cmd	position 15 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	@cmd	spawn01 "qfx" 35 1 1
	
	@cmd	position 15 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	
	@cmd	position 15 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	
	@cmd	position 15 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	
	@cmd	position 14 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	
	@cmd	position 14 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	
	@cmd	position 14 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	attack	0 0 0 0
	
	@cmd	position 14 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	delay	15
	@cmd	position 14 55 49 -1 1
	frame	data/chars/xdaimon/grab57.png
	@cmd	depost 0
	@cmd	finish 70 1 1 5 0 0
	frame	data/chars/xdaimon/grab57.png
	delay	9
	frame	data/chars/xdaimon/grab58.png
	@cmd	clearL
	frame	data/chars/xdaimon/grab59.png
	frame	data/chars/xdaimon/grab60.png
		
anim	grabbackward
	loop	0
	delay	20
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/grab.wav
	@cmd	slamstart2
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xdaimon/grab00.png
	delay	8
	@cmd	position 0 22 110 -1 1
	frame	data/chars/xdaimon/grab20.png
	@cmd	position 1 0 120 -1 1
	frame	data/chars/xdaimon/grab21.png
	delay	4
	sound	data/sounds/xdaim01.wav
	
	@cmd	position 1 -8 115 -1 1
	frame	data/chars/xdaimon/grab22.png
	
	@cmd	position 1 -8 115 -1 1
	frame	data/chars/xdaimon/grab22.png
	
	@cmd	position 1 -8 115 -1 1
	frame	data/chars/xdaimon/grab22.png
	
	@cmd	position 1 -8 115 -1 1
	frame	data/chars/xdaimon/grab22.png
	delay	1
	
	@cmd	position 2 -15 45 -1 1
	frame	data/chars/xdaimon/grab23.png
	@cmd	depost 0
	@cmd	finish 70 1 -4 2 0 0
	delay	30
	frame	data/chars/xdaimon/grab23.png
	delay	8
	frame	data/chars/xdaimon/grab24.png
	@cmd	clearL
	frame	data/chars/xdaimon/grab25.png
	@cmd	flip
	frame	data/chars/xdaimon/grab01.png
		
anim	grabbed
	loop	0
	delay	10
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/pain2.png
		
anim	grabdown
	loop	0
	attackone	0
	delay	5
	offset	145 211
	bbox	0 0 0 0
	staydown	300 300
	hitfx	data/sounds/beat0.wav
	fastattack	1
	attack	0 0 0 0
	movez	1
	delay	8
	frame	data/chars/xdaimon/grab00.png
	movez	0
	frame	data/chars/xdaimon/grab01.png
	frame	data/chars/xdaimon/grab02.png
	delay	20
	attack	139 150 51 60 30 1 0 0 45 10
	dropv	2 -4
	frame	data/chars/xdaimon/grab03.png
	attack	0 0 0 0
	delay	8
	frame	data/chars/xdaimon/grab02.png
	frame	data/chars/xdaimon/grab03a.png
	frame	data/chars/xdaimon/grab03b.png
	@cmd	flip
	frame	data/chars/xdaimon/idle01.png
		
anim	grabforward
	loop	0
	delay	20
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/grab.wav
	@cmd	slamstart2
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xdaimon/grab00.png
	delay	2
	move	5
	@cmd	position 10 30 51 -1 -1
	frame	data/chars/xdaimon/grab30.png
	@cmd	position 10 25 51 -1 -1
	frame	data/chars/xdaimon/grab30.png
	@cmd	position 10 20 51 -1 -1
	frame	data/chars/xdaimon/grab30.png
	@cmd	position 10 15 51 -1 -1
	frame	data/chars/xdaimon/grab30.png
	@cmd	position 10 10 51 -1 -1
	frame	data/chars/xdaimon/grab31.png
	@cmd	position 10 5 51 -1 -1
	frame	data/chars/xdaimon/grab31.png
	@cmd	position 10 0 51 -1 -1
	frame	data/chars/xdaimon/grab31.png
	@cmd	position 10 -5 51 -1 -1
	frame	data/chars/xdaimon/grab31.png
	move	0
	delay	8
	@cmd	position 10 -8 51 -1 -1
	frame	data/chars/xdaimon/grab32.png
	@cmd	position 11 -30 60 -1 -1
	frame	data/chars/xdaimon/grab33.png
	@cmd	position 11 -25 55 -1 -1
	frame	data/chars/xdaimon/grab34.png
	@cmd	position 11 -20 50 -1 -1
	frame	data/chars/xdaimon/grab35.png
	@cmd	position 11 -15 45 -1 -1
	frame	data/chars/xdaimon/grab36.png
	@cmd	position 11 -10 40 -1 -1
	frame	data/chars/xdaimon/grab37.png
	delay	2
	sound	data/sounds/xdaim04.wav
	
	@cmd	position 0 -5 70 -1 -1
	frame	data/chars/xdaimon/grab38.png
	
	@cmd	position 0 -5 70 -1 -1
	frame	data/chars/xdaimon/grab38.png
	
	@cmd	position 0 -5 70 -1 -1
	frame	data/chars/xdaimon/grab38.png
	
	@cmd	position 0 -5 70 -1 -1
	frame	data/chars/xdaimon/grab38.png
	
	@cmd	position 0 -5 75 -1 -1
	frame	data/chars/xdaimon/grab39.png
	
	@cmd	position 0 -5 75 -1 -1
	frame	data/chars/xdaimon/grab39.png
	
	@cmd	position 0 -5 75 -1 -1
	frame	data/chars/xdaimon/grab39.png
	
	@cmd	position 0 -5 75 -1 -1
	frame	data/chars/xdaimon/grab39.png
	
	@cmd	position 0 10 100 -1 -1
	frame	data/chars/xdaimon/grab40.png
	
	@cmd	position 0 10 100 -1 -1
	frame	data/chars/xdaimon/grab40.png
	
	@cmd	position 0 10 100 -1 -1
	frame	data/chars/xdaimon/grab40.png
	
	@cmd	position 0 10 100 -1 -1
	frame	data/chars/xdaimon/grab40.png
	attack	150 115 85 60 15 1 0 0 5 10
	dropv	2 4
	
	@cmd	position 1 50 125 1 -1
	frame	data/chars/xdaimon/grab41.png
	
	@cmd	position 1 50 125 1 -1
	frame	data/chars/xdaimon/grab41.png
	
	@cmd	position 1 50 125 1 -1
	frame	data/chars/xdaimon/grab41.png
	
	@cmd	position 1 50 125 1 -1
	frame	data/chars/xdaimon/grab41.png
	delay	8
	@cmd	position 3 75 70 -1 -1
	frame	data/chars/xdaimon/grab42.png
	@cmd	depost 0
	@cmd	finish 70 1 -4 0.5 0 0
	frame	data/chars/xdaimon/grab43.png
	frame	data/chars/xdaimon/grab44.png
	attack	0 0 0 0
	delay	30
	frame	data/chars/xdaimon/grab45.png
	delay	9
	frame	data/chars/xdaimon/grab46.png
	@cmd	flip
	offset	170 211
	frame	data/chars/xdaimon/dgd06.png
	offset	155 211
	frame	data/chars/xdaimon/dgd08.png
	@cmd	clearL
	offset	150 211
	frame	data/chars/xdaimon/jump00.png
	offset	148 211
	frame	data/chars/xdaimon/jump00a.png
		
anim	idle
	loop	1
	delay	15
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/idle01.png
	delay	9
	@cmd	clearL
	frame	data/chars/xdaimon/idle02.png
	frame	data/chars/xdaimon/idle03.png
	frame	data/chars/xdaimon/idle04.png
	frame	data/chars/xdaimon/idle05.png
	frame	data/chars/xdaimon/idle06.png
	delay	15
	frame	data/chars/xdaimon/idle07.png
	delay	9
	frame	data/chars/xdaimon/idle06.png
	frame	data/chars/xdaimon/idle05.png
	frame	data/chars/xdaimon/idle04.png
	frame	data/chars/xdaimon/idle03.png
	frame	data/chars/xdaimon/idle02.png
		
anim	jump
	loop	0
	delay	15
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xdaimon/jump01.png
	delay	8
	frame	data/chars/xdaimon/jump02.png
	frame	data/chars/xdaimon/jump03.png
	delay	20
	frame	data/chars/xdaimon/jump04.png
	delay	8
	frame	data/chars/xdaimon/jump03.png
	frame	data/chars/xdaimon/jump02.png
	delay	20
	frame	data/chars/xdaimon/jump01.png
		
anim	jumpattack
	loop	0
	delay	9
	offset	145 211
	bbox	135 98 30 60
	forcedirection	-1
	staydown	500 500
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim01.wav
	frame	data/chars/xdaimon/jua01.png
	frame	data/chars/xdaimon/jua01.png
	delay	30
	attack	136 100 85 75 30 1 0 0 45 15
	frame	data/chars/xdaimon/jua03.png
		
anim	jumpattack2
	loop	0
	delay	9
	offset	145 211
	bbox	135 98 30 60
	frame	data/chars/xdaimon/jua10.png
	attack2	135 111 71 60 12 0 0 0 35 0
	frame	data/chars/xdaimon/jua11.png
		
anim	jumpdelay
	loop	0
	delay	8
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/jump00a.png
		
anim	jumpforward
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 60
	forcedirection	-1
	staydown	500 500
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xdaim03.wav
	frame	data/chars/xdaimon/jua05.png
	delay	8
	frame	data/chars/xdaimon/jua06.png
	delay	30
	attack	135 110 80 65 35 1 0 0 45 15
	frame	data/chars/xdaimon/jua07.png
		
anim	jumpland
	loop	0
	delay	8
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/jump00.png
		
anim	pain
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/pain1.png
	offset	140 211
	frame	data/chars/xdaimon/pain2.png
	offset	146 211
	frame	data/chars/xdaimon/pain2.png
	offset	145 211
	frame	data/chars/xdaimon/pain2.png
		
anim	pain2
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/pain3.png
	offset	140 211
	frame	data/chars/xdaimon/pain4.png
	offset	146 211
	frame	data/chars/xdaimon/pain4.png
	offset	145 211
	frame	data/chars/xdaimon/pain4.png
		
anim	pain3
	loop	0
	delay	2
	offset	145 211
	bbox	130 125 30 75
	move	-6
	frame	data/chars/xdaimon/pain1.png
	frame	data/chars/xdaimon/pain1.png
	frame	data/chars/xdaimon/pain1.png
	frame	data/chars/xdaimon/pain2.png
	frame	data/chars/xdaimon/pain2.png
	frame	data/chars/xdaimon/pain2.png
	move	-4
	frame	data/chars/xdaimon/pain1.png
	frame	data/chars/xdaimon/pain1.png
	frame	data/chars/xdaimon/pain1.png
	frame	data/chars/xdaimon/pain3.png
	frame	data/chars/xdaimon/pain3.png
	move	-2
	frame	data/chars/xdaimon/pain3.png
	frame	data/chars/xdaimon/pain4.png
	frame	data/chars/xdaimon/pain4.png
	delay	50
	frame	data/chars/xdaimon/pain4.png
		
anim	pain5
	loop	0
	delay	12
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/pain1.png
	delay	9
	frame	data/chars/xdaimon/pain2.png
	frame	data/chars/xdaimon/pain3.png
	frame	data/chars/xdaimon/pain4.png
	frame	data/chars/xdaimon/jump00.png
	delay	30
	frame	data/chars/xdaimon/dgd08.png
	delay	9
	frame	data/chars/xdaimon/jump00.png
		
anim	respawn
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/spw06.png
	sound	data/sounds/xdaimTLK.wav
	frame	data/chars/xdaimon/spw06.png
	delay	9
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw01.png
	frame	data/chars/xdaimon/spw02.png
	frame	data/chars/xdaimon/spw03.png
	delay	40
	frame	data/chars/xdaimon/spw04.png
	delay	9
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw06.png
		
anim	rise
	loop	0
	delay	25
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/fall4.png
	delay	11
	frame	data/chars/xdaimon/dgd06.png
	frame	data/chars/xdaimon/dgd08.png
	frame	data/chars/xdaimon/jump00.png
	frame	data/chars/xdaimon/jump00a.png
		
anim	run
	loop	1 1 9
	delay	9
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/run00.png
	delay	2
	sound	data/sounds/run.wav
	frame	data/chars/xdaimon/run01.png
	delay	7
	sound	data/sounds/run.wav
	frame	data/chars/xdaimon/run01.png
	delay	9
	frame	data/chars/xdaimon/run02.png
	frame	data/chars/xdaimon/run03.png
	delay	2
	sound	data/sounds/run.wav
	frame	data/chars/xdaimon/run04.png
	delay	7
	sound	data/sounds/run.wav
	frame	data/chars/xdaimon/run04.png
	delay	9
	frame	data/chars/xdaimon/run05.png
	frame	data/chars/xdaimon/run06.png
		
anim	runattack
	loop	0
	delay	8
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim03.wav
	@cmd	dasher 3 0 0
	frame	data/chars/xdaimon/b01.png
	frame	data/chars/xdaimon/b02.png
	frame	data/chars/xdaimon/b10.png
	delay	12
	@cmd	dasher 2 0 0
	attack	145 85 88 70 60 1 0 0 25 15
	dropv	3 3
	frame	data/chars/xdaimon/b11.png
	delay	9
	@cmd	stop
	frame	data/chars/xdaimon/b12.png
	attack	0 0 0 0
	frame	data/chars/xdaimon/b13.png
	frame	data/chars/xdaimon/b02.png
	frame	data/chars/xdaimon/b01.png
		
anim	runjump
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xdaimon/jump01.png
	delay	8
	frame	data/chars/xdaimon/jump02.png
	frame	data/chars/xdaimon/jump03.png
	frame	data/chars/xdaimon/jump04.png
		
anim	runjumpattack
	loop	0
	delay	12
	offset	145 211
	bbox	138 92 30 55
	fastattack	1
	forcedirection	-1
	landframe	3
	staydown	500 500
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim03.wav
	frame	data/chars/xdaimon/jua15.png
	delay	8
	frame	data/chars/xdaimon/jua16.png
	delay	500
	attack	130 100 87 75 35 1 0 0 40 15
	dropv	2 4
	frame	data/chars/xdaimon/jua17.png
	delay	8
	attack	0 0 0 0
	frame	data/chars/xdaimon/jump00.png
	frame	data/chars/xdaimon/jump00a.png
		
anim	runslide
	loop	0
	delay	12
	offset	145 211
	bbox	130 145 30 55
	forcedirection	-1
	otg	0
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim03.wav
	@cmd	dasher 3 0 0
	frame	data/chars/xdaimon/sld01.png
	frame	data/chars/xdaimon/sld02.png
	delay	5
	@cmd	dasher 2.5 0 0
	attack	120 100 80 105 30 1 0 0 25 15
	dropv	5 -0.5
	frame	data/chars/xdaimon/sld03.png
	frame	data/chars/xdaimon/sld03.png
	@cmd	dasher 1.5 0 0
	frame	data/chars/xdaimon/sld03.png
	frame	data/chars/xdaimon/sld03.png
	delay	9
	attack	0 0 0 0
	@cmd	stop
	frame	data/chars/xdaimon/sld03.png
	frame	data/chars/xdaimon/sld04.png
	frame	data/chars/xdaimon/sld05.png
	frame	data/chars/xdaimon/jump00.png
	frame	data/chars/xdaimon/jump00a.png
		
anim	select
	loop	0
	delay	5
	offset	0 0
	sound	data/sounds/blink.wav
	frame	data/chars/xdaimon/xwait2.png
	sound	data/sounds/xdaimTLK.wav
	frame	data/chars/xdaimon/xwait3.png
	frame	data/chars/xdaimon/xwait2.png #2
	frame	data/chars/xdaimon/xwait3.png
	@cmd	looper 2 10
	delay	100
	frame	data/chars/xdaimon/xwait2.png
		
anim	spawn
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/spw06.png
	sound	data/sounds/xdaimTLK.wav
	frame	data/chars/xdaimon/spw06.png
	delay	9
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw01.png
	frame	data/chars/xdaimon/spw02.png
	frame	data/chars/xdaimon/spw03.png
	delay	40
	frame	data/chars/xdaimon/spw04.png
	delay	9
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw06.png
		
anim	special
	energycost	40
	mponly	1
	loop	0
	delay	4
	offset	145 211
	bbox	0 0 0 0
	otg	1
	staydown	500 500
	hitfx	data/sounds/empty.wav
	sound	data/sounds/xdaim04.wav
	frame	data/chars/xdaimon/jump00a.png
	frame	data/chars/xdaimon/jump00a.png
	delay	9
	frame	data/chars/xdaimon/sp01.png
	delay	15
	frame	data/chars/xdaimon/sp02.png
	delay	9
	attack10	10 50 285 250 20 1 1 1 5 300
	dropv	2.5 0
	sound	data/sounds/bang2.wav
	@cmd	spawn01 "qfx" -20 1 1
	@cmd	spawn01 "qfx" 30 1 1
	frame	data/chars/xdaimon/sp03.png
	delay	20
	frame	data/chars/xdaimon/sp04.png
	attack10	0 0 0 0
	delay	9
	frame	data/chars/xdaimon/jump00.png
	@cmd	looper 1 5
	frame	data/chars/xdaimon/jump00a.png
		
anim	waiting
	loop	1
	delay	12
	offset	0 0
	frame	data/chars/xdaimon/xwait1.png
	frame	data/chars/xdaimon/xwait1.png
		
anim	walk
	loop	1
	delay	11
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/wk07.png
	frame	data/chars/xdaimon/wk08.png
	sound	data/sounds/run.wav
	frame	data/chars/xdaimon/wk01.png
	frame	data/chars/xdaimon/wk02.png
	frame	data/chars/xdaimon/wk03.png
	frame	data/chars/xdaimon/wk04.png
	sound	data/sounds/run.wav
	frame	data/chars/xdaimon/wk05.png
	frame	data/chars/xdaimon/wk06.png
		
anim	walkoff
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xdaimon/jump01.png
		
#|edited by openBor Stats v 0.53
		
