name          sylo2
	frame	data/chars/beyond/1alien6/up01.gif
	frame	data/chars/beyond/1alien6/up02.gif
	frame	data/chars/beyond/1alien6/up03.gif
	frame	data/chars/beyond/1alien6/up04.gif
	frame	data/chars/beyond/1alien6/up05.gif
	attack	109 84 55 64 12 1 0 0 40 20
	dropv	5 1
	frame	data/chars/beyond/1alien6/up06.gif
	attack	110 65 96 62 12 1 0 0 40 20
	dropv	5 1
	frame	data/chars/beyond/1alien6/up07.gif
	frame	data/chars/beyond/1alien6/up08.gif
	bbox	90 120 50 75
	frame	data/chars/beyond/1alien6/up09.gif
	frame	data/chars/beyond/1alien6/up10.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/up11.gif
	frame	data/chars/beyond/1alien6/up12.gif
	frame	data/chars/beyond/1alien6/up13.gif
	frame	data/chars/beyond/1alien6/up14.gif
	frame	data/chars/beyond/1alien6/up15.gif
	frame	data/chars/beyond/1alien6/up16.gif
	frame	data/chars/beyond/1alien6/up17.gif
	frame	data/chars/beyond/1alien6/up18.gif
		
anim	walk
	loop	1
	delay	9
	offset	100 189
	bbox	90 120 50 75
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/wk30.gif
	frame	data/chars/beyond/1alien6/wk31.gif
	frame	data/chars/beyond/1alien6/wk32.gif
	frame	data/chars/beyond/1alien6/wk33.gif
		
#|edited by openBor Stats v 0.67
		
